consumable,tray,column,x,y,z1,z2,tip
Quant Strip,A,1,0,0,0,0,1000
Quant Strip,B,1,0,0,0,0,1000
Quant Strip,C,1,0,0,0,0,1000
Quant Strip,D,1,0,0,0,0,1000
Tip Box,A,1,-164300,-621000,-1534000,0,1000
Tip Box,A,2,-158900,-621000,-1534000,0,1000
Tip Box,A,3,-153400,-621000,-1534000,0,1000
Tip Box,A,4,-147900,-621000,-1534000,0,1000
Tip Box,A,5,-142600,-621000,-1534000,0,1000
Tip Box,A,6,-137300,-621000,-1534000,0,1000
Tip Box,A,7,-132000,-621000,-1534000,0,1000
Tip Box,A,8,-126650,-621000,-1534000,0,1000
Tip Box,A,9,-121150,-621000,-1534000,0,1000
Tip Box,A,10,-115650,-621000,-1534000,0,1000
Tip Box,A,11,-110150,-621000,-1534000,0,1000
Tip Box,A,12,-104650,-621000,-1534000,0,1000
Tip Box,B,1,-164650,-1039000,-1497000,0,1000
Tip Box,B,2,-159150,-1039000,-1497000,0,1000
Tip Box,B,3,-153650,-1039000,-1497000,0,1000
Tip Box,B,4,-148150,-1039000,-1497000,0,1000
Tip Box,B,5,-142650,-1039000,-1497000,0,1000
Tip Box,B,6,-137150,-1039000,-1497000,0,1000
Tip Box,B,7,-132150,-1039000,-1497000,0,1000
Tip Box,B,8,-126650,-1039000,-1497000,0,1000
Tip Box,B,9,-121150,-1039000,-1496000,0,1000
Tip Box,B,10,-115650,-1039000,-1497000,0,1000
Tip Box,B,11,-110150,-1039000,-1497000,0,1000
Tip Box,B,12,-104650,-1039000,-1497000,0,1000
Tip Box,C,1,-164350,-1463000,-1497000,0,1000
Tip Box,C,2,-158850,-1463000,-1497000,0,1000
Tip Box,C,3,-153850,-1463000,-1497000,0,1000
Tip Box,C,4,-148350,-1463000,-1497000,0,1000
Tip Box,C,5,-142850,-1463000,-1497000,0,1000
Tip Box,C,6,-137350,-1463000,-1497000,0,1000
Tip Box,C,7,-131850,-1463000,-1497000,0,1000
Tip Box,C,8,-126350,-1463000,-1497000,0,1000
Tip Box,C,9,-120850,-1463000,-1497000,0,1000
Tip Box,C,10,-115850,-1463000,-1497000,0,1000
Tip Box,C,11,-110350,-1463000,-1497000,0,1000
Tip Box,C,12,-104850,-1463000,-1497000,0,1000
Tip Box,D,1,0,0,0,0,1000
Tip Box,D,2,0,0,0,0,1000
Tip Box,D,3,0,0,0,0,1000
Tip Box,D,4,0,0,0,0,1000
Tip Box,D,5,0,0,0,0,1000
Tip Box,D,6,0,0,0,0,1000
Tip Box,D,7,0,0,0,0,1000
Tip Box,D,8,0,0,0,0,1000
Tip Box,D,9,0,0,0,0,1000
Tip Box,D,10,0,0,0,0,1000
Tip Box,D,11,0,0,0,0,1000
Tip Box,D,12,0,0,0,0,1000
Reagent Cartridge,A,1,-247850,-628000,-965000,0,1000
Reagent Cartridge,A,2,-239850,-628000,-965000,0,1000
Reagent Cartridge,A,3,-233350,-628000,-865000,0,1000
Reagent Cartridge,A,4,-229150,-628000,-763500,0,1000
Reagent Cartridge,A,5,-223950,-628000,-779500,0,1000
Reagent Cartridge,A,6,-219050,-628000,-763500,0,1000
Reagent Cartridge,A,7,-213650,-628000,-763500,0,1000
Reagent Cartridge,A,8,-208250,-628000,-763500,0,1000
