consumable,tray,column,x,y,z1,z2,tip
Quant Strip,A,1,0,0,0,0,1000
Quant Strip,B,1,0,0,0,0,1000
Quant Strip,C,1,0,0,0,0,1000
Quant Strip,D,1,0,0,0,0,1000
Tip Box,A,1,-169750,-610750,-1489000,0,1000
Tip Box,A,2,0,0,0,0,1000
Tip Box,A,3,0,0,0,0,1000
Tip Box,A,4,0,0,0,0,1000
Tip Box,A,5,0,0,0,0,1000
Tip Box,A,6,0,0,0,0,1000
Tip Box,A,7,0,0,0,0,1000
Tip Box,A,8,0,0,0,0,1000
Tip Box,A,9,0,0,0,0,1000
Tip Box,A,10,0,0,0,0,1000
Tip Box,A,11,0,0,0,0,1000
Tip Box,A,12,0,0,0,0,1000
Tip Box,B,1,-169750,-1007000,-1489000,0,1000
Tip Box,B,2,-164250,-1007000,-1489000,0,1000
Tip Box,B,3,-159250,-1007000,-1489000,0,1000
Tip Box,B,4,-153750,-1007000,-1487000,0,1000
Tip Box,B,5,-148250,-1007000,-1489000,0,1000
Tip Box,B,6,-142750,-1007000,-1489000,0,1000
Tip Box,B,7,-137250,-1007000,-1489000,0,1000
Tip Box,B,8,-131750,-1007000,-1489000,0,1000
Tip Box,B,9,-126250,-1007000,-1489000,0,1000
Tip Box,B,10,-121250,-1007000,-1488000,0,1000
Tip Box,B,11,-115750,-1007000,-1489000,0,1000
Tip Box,B,12,-110250,-1007000,-1489000,0,1000
Tip Box,C,1,-169750,-1431000,-1483000,0,1000
Tip Box,C,2,-164250,-1431000,-1483000,0,1000
Tip Box,C,3,-159250,-1431000,-1483000,0,1000
Tip Box,C,4,-153750,-1431000,-1483000,0,1000
Tip Box,C,5,-148250,-1431000,-1483000,0,1000
Tip Box,C,6,-142750,-1431000,-1483000,0,1000
Tip Box,C,7,-137250,-1431000,-1483000,0,1000
Tip Box,C,8,-131750,-1431000,-1483000,0,1000
Tip Box,C,9,-126250,-1431000,-1483000,0,1000
Tip Box,C,10,-121250,-1431000,-1483000,0,1000
Tip Box,C,11,-115750,-1431000,-1483000,0,1000
Tip Box,C,12,-110250,-1431000,-1483000,0,1000
Tip Box,D,1,0,0,0,0,1000
Tip Box,D,2,0,0,0,0,1000
Tip Box,D,3,0,0,0,0,1000
Tip Box,D,4,0,0,0,0,1000
Tip Box,D,5,0,0,0,0,1000
Tip Box,D,6,0,0,0,0,1000
Tip Box,D,7,0,0,0,0,1000
Tip Box,D,8,0,0,0,0,1000
Tip Box,D,9,0,0,0,0,1000
Tip Box,D,10,0,0,0,0,1000
Tip Box,D,11,0,0,0,0,1000
Tip Box,D,12,0,0,0,0,1000
Reagent Cartridge,A,1,0,0,0,0,1000
Reagent Cartridge,A,2,0,0,0,0,1000
Reagent Cartridge,A,3,0,0,0,0,1000
Reagent Cartridge,A,4,0,0,0,0,1000
Reagent Cartridge,A,5,0,0,0,0,1000
Reagent Cartridge,A,6,0,0,0,0,1000
Reagent Cartridge,A,7,0,0,0,0,1000
Reagent Cartridge,A,8,0,0,0,0,1000
Reagent Cartridge,A,9,0,0,0,0,1000
Reagent Cartridge,A,10,0,0,0,0,1000
Reagent Cartridge,A,11,0,0,0,0,1000
Reagent Cartridge,A,12,0,0,0,0,1000
Reagent Cartridge,B,1,-251750,-1010000,-950000,-520000,1000
