consumable,tray,column,x,y,z1,z2,tip
Quant Strip,A,1,0,0,0,0,1000
Quant Strip,B,1,0,0,0,0,1000
Quant Strip,C,1,0,0,0,0,1000
Quant Strip,D,1,0,0,0,0,1000
Tip Box,A,1,-173200,-587000,-1529000,0,1000
Tip Box,A,2,-168000,-587000,-1529000,0,1000
Tip Box,A,3,-162500,-587000,-1529000,0,1000
Tip Box,A,4,-157000,-587000,-1529000,0,1000
Tip Box,A,5,-151500,-587000,-1529000,0,1000
Tip Box,A,6,-146000,-587000,-1529000,0,1000
Tip Box,A,7,0,0,0,0,1000
Tip Box,A,8,0,0,0,0,1000
Tip Box,A,9,0,0,0,0,1000
Tip Box,A,10,0,0,0,0,1000
Tip Box,A,11,0,0,0,0,1000
Tip Box,A,12,0,0,0,0,1000
Tip Box,B,1,0,0,0,0,1000
Tip Box,B,2,0,0,0,0,1000
Tip Box,B,3,0,0,0,0,1000
Tip Box,B,4,0,0,0,0,1000
Tip Box,B,5,0,0,0,0,1000
Tip Box,B,6,0,0,0,0,1000
Tip Box,B,7,0,0,0,0,1000
Tip Box,B,8,0,0,0,0,1000
Tip Box,B,9,0,0,0,0,1000
Tip Box,B,10,0,0,0,0,1000
Tip Box,B,11,0,0,0,0,1000
Tip Box,B,12,0,0,0,0,1000
Tip Box,C,1,0,0,0,0,1000
Tip Box,C,2,0,0,0,0,1000
Tip Box,C,3,0,0,0,0,1000
Tip Box,C,4,0,0,0,0,1000
Tip Box,C,5,0,0,0,0,1000
Tip Box,C,6,0,0,0,0,1000
Tip Box,C,7,0,0,0,0,1000
Tip Box,C,8,0,0,0,0,1000
Tip Box,C,9,0,0,0,0,1000
Tip Box,C,10,0,0,0,0,1000
Tip Box,C,11,0,0,0,0,1000
Tip Box,C,12,0,0,0,0,1000
Tip Box,D,1,0,0,0,0,1000
Tip Box,D,2,0,0,0,0,1000
Tip Box,D,3,0,0,0,0,1000
Tip Box,D,4,0,0,0,0,1000
Tip Box,D,5,0,0,0,0,1000
Tip Box,D,6,0,0,0,0,1000
Tip Box,D,7,0,0,0,0,1000
Tip Box,D,8,0,0,0,0,1000
Tip Box,D,9,0,0,0,0,1000
Tip Box,D,10,0,0,0,0,1000
Tip Box,D,11,0,0,0,0,1000
Tip Box,D,12,0,0,0,0,1000
Reagent Cartridge,A,1,-256200,-587000,-955000,0,1000
Reagent Cartridge,A,2,-249700,-587000,-955000,0,1000
Reagent Cartridge,A,3,-243200,-587000,-856000,0,1000
Reagent Cartridge,A,4,-238200,-587000,-761000,0,1000
Reagent Cartridge,A,5,-233100,-587000,-756000,0,1000
Reagent Cartridge,A,6,-227200,-587000,-756000,0,1000
Reagent Cartridge,A,7,-221700,-587000,-756000,0,1000
Reagent Cartridge,A,8,-216200,-587000,-756000,0,1000
Reagent Cartridge,A,9,-210700,-587000,-756000,0,1000
Reagent Cartridge,A,10,-205200,-587000,-856000,0,1000
Reagent Cartridge,A,11,-199700,-587000,-957000,0,1000
Reagent Cartridge,A,12,-192700,-587000,-957000,0,1000
Reagent Cartridge,B,1,0,0,0,0,1000
Reagent Cartridge,B,2,0,0,0,0,1000
Reagent Cartridge,B,3,0,0,0,0,1000
Reagent Cartridge,B,4,0,0,0,0,1000
Reagent Cartridge,B,5,0,0,0,0,1000
