consumable,tray,column,x,y,z1,z2,tip
Quant Strip,A,1,0,0,0,0,1000
Quant Strip,B,1,0,0,0,0,1000
Quant Strip,C,1,0,0,0,0,1000
Quant Strip,D,1,0,0,0,0,1000
Tip Box,A,1,-169850,-623000,-1536000,0,1000
Tip Box,A,2,-164350,-623000,-1536000,0,1000
Tip Box,A,3,-159050,-623000,-1536000,0,1000
Tip Box,A,4,-153650,-623000,-1536000,0,1000
Tip Box,A,5,-148050,-623000,-1536000,0,1000
Tip Box,A,6,-142450,-625000,-1536000,0,1000
Tip Box,A,7,-137450,-625000,-1536000,0,1000
Tip Box,A,8,-131950,-623000,-1536000,0,1000
Tip Box,A,9,-126750,-625000,-1536000,0,1000
Tip Box,A,10,-121150,-625000,-1536000,0,1000
Tip Box,A,11,-115550,-625000,-1536000,0,1000
Tip Box,A,12,-110150,-621000,-1536000,0,1000
Tip Box,B,1,0,0,0,0,1000
Tip Box,B,2,0,0,0,0,1000
Tip Box,B,3,0,0,0,0,1000
Tip Box,B,4,0,0,0,0,1000
Tip Box,B,5,-148050,-1045000,-1536000,0,1000
Tip Box,B,6,-142450,-1045000,-1536000,0,1000
Tip Box,B,7,-131750,-1045000,-1536000,0,1000
Tip Box,B,8,0,0,0,0,1000
Tip Box,B,9,0,0,0,0,1000
Tip Box,B,10,0,0,0,0,1000
Tip Box,B,11,0,0,0,0,1000
Tip Box,B,12,-109850,-1045000,-1526000,0,1000
Tip Box,C,1,0,0,0,0,1000
Tip Box,C,2,0,0,0,0,1000
Tip Box,C,3,0,0,0,0,1000
Tip Box,C,4,0,0,0,0,1000
Tip Box,C,5,0,0,0,0,1000
Tip Box,C,6,0,0,0,0,1000
Tip Box,C,7,0,0,0,0,1000
Tip Box,C,8,0,0,0,0,1000
Tip Box,C,9,0,0,0,0,1000
Tip Box,C,10,0,0,0,0,1000
Tip Box,C,11,0,0,0,0,1000
Tip Box,C,12,0,0,0,0,1000
Tip Box,D,1,0,0,0,0,1000
Tip Box,D,2,0,0,0,0,1000
Tip Box,D,3,0,0,0,0,1000
Tip Box,D,4,0,0,0,0,1000
Tip Box,D,5,0,0,0,0,1000
Tip Box,D,6,0,0,0,0,1000
Tip Box,D,7,0,0,0,0,1000
Tip Box,D,8,0,0,0,0,1000
Tip Box,D,9,0,0,0,0,1000
Tip Box,D,10,0,0,0,0,1000
Tip Box,D,11,0,0,0,0,1000
Tip Box,D,12,0,0,0,0,1000
Reagent Cartridge,A,1,-253450,-628000,-955000,0,1000
Reagent Cartridge,A,2,-245950,-628000,-955000,0,1000
Reagent Cartridge,A,3,-239900,-628000,-856000,0,1000
Reagent Cartridge,A,4,-234700,-633000,-756000,0,1000
Reagent Cartridge,A,5,-229250,-629000,-765000,0,1000
Reagent Cartridge,A,6,-223950,-629000,-765000,0,1000
Reagent Cartridge,A,7,-218550,-629000,-766000,0,1000
Reagent Cartridge,A,8,-213350,-633000,-770000,0,1000
Reagent Cartridge,A,9,-207550,-629000,-763000,0,1000
Reagent Cartridge,A,10,-202450,-633000,-860000,0,1000
Reagent Cartridge,A,11,-196000,-633000,-962000,0,1000
Reagent Cartridge,A,12,-189250,-633000,-961000,0,1000
Reagent Cartridge,B,1,0,0,0,0,1000
Reagent Cartridge,B,2,0,0,0,0,1000
