Heater,Location,x-coordinate,y-coordinate,z-coordinate
A,TopLeft Focus,-301809,-7482,
A,TopRight Focus,-301809,-7482,
A,BotLeft Focus,-301809,-7482,
A,BotRight Focus,-301809,-7482,
A,Chamber 1 Inlet,-301809,-7482,
A,Chamber 1 Outlet,-530205,-7482,
A,Chamber 8 Inlet,-301809,-168931,
A,Chamber 8 Outlet,-530205,-168931,
B,TopLeft Focus,-298451,-288300,
B,TopRight Focus,-298451,-288300,
B,BotLeft Focus,-298451,-288300,
B,BotRight Focus,-298451,-288300,
B,Chamber 1 Inlet,-298451,-288300,
B,Chamber 1 Outlet,-526847,-288300,
B,Chamber 8 Inlet,-298451,-449748,
B,Chamber 8 Outlet,-526847,-449748,
C,TopLeft Focus,-526847,-449748,
C,TopRight Focus,-526847,-449748,
C,BotLeft Focus,-526847,-449748,
C,BotRight Focus,-526847,-449748,
C,Chamber 1 Inlet,-526847,-449748,
C,Chamber 1 Outlet,-526847,-449748,
C,Chamber 8 Inlet,-526847,-449748,
C,Chamber 8 Outlet,-526847,-449748,
D,TopLeft Focus,-526847,-449748,
D,TopRight Focus,-526847,-449748,
D,BotLeft Focus,-526847,-449748,
D,BotRight Focus,-526847,-449748,
D,Chamber 1 Inlet,-526847,-449748,
D,Chamber 1 Outlet,-526847,-449748,
D,Chamber 8 Inlet,-526847,-449748,
D,Chamber 8 Outlet,-526847,-449748,
