Change Heater/Shaker Temperature to 60.0 C,20.11,
Engage magnet,0.45,
Pickup tips from A column 1,16.99,
Move to Sample Rack tray A with 1000 uL tips,8.44,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,13.71,
Move to Heater/Shaker column 1 with 1000 uL tips,13.42,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,13.69,
Delay for 2 seconds,2.01,
Dispense 20 uLs with 1000 uL tips at Low pressure 1 time,13.67,
Change Heater/Shaker Temperature to 60.0 C,20.05,
Engage magnet,0.44,
Pickup tips from A column 1,17,
Move to Sample Rack tray A with 1000 uL tips,8.46,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.78,
Move to Heater/Shaker column 1 with 1000 uL tips,13.4,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,6.65,
Delay for 2 seconds,2.01,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.06,
Move to Sample Rack tray A with 1000 uL tips,13.24,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.7,
Move to Heater/Shaker column 1 with 1000 uL tips,13.42,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,6.68,
Delay for 2 seconds,2.02,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.06,
Move to Sample Rack tray A with 1000 uL tips,13.24,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.81,
Move to Heater/Shaker column 1 with 1000 uL tips,13.47,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,6.68,
Delay for 2 seconds,2.01,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.03,
Move to Sample Rack tray A with 1000 uL tips,13.17,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.66,
Move to Heater/Shaker column 1 with 1000 uL tips,13.46,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,6.68,
Delay for 2 seconds,2.01,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.05,
Move to Reagent Cartridge tray A column 4 with 1000 uL tips,12.77,
Aspirate 160 uLs with 1000 uL tips at High pressure 1 time,4.38,
Move to Heater/Shaker column 1 with 1000 uL tips,12.78,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.62,
Move to Reagent Cartridge tray A column 1 with 1000 uL tips,13.22,
Mix 935 uLs with 1000 uL tips at High pressure 1 time,12.17,
Aspirate 935 uLs with 1000 uL tips at High pressure 1 time,5.74,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 350000,12.31,
Dispense 935 uLs with 1000 uL tips at High pressure 1 time,6.58,
Delay for 3 seconds,3.02,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.26,
Move to Reagent Cartridge tray A column 2 with 1000 uL tips,12.29,
Mix 935 uLs with 1000 uL tips at High pressure 1 time,12.23,
Aspirate 935 uLs with 1000 uL tips at High pressure 1 time,5.66,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 350000,12.39,
Dispense 935 uLs with 1000 uL tips at High pressure 1 time,6.54,
Delay for 3 seconds,3.02,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.24,
Move to Reagent Cartridge tray A column 11 with 1000 uL tips,12.57,
Mix 935 uLs with 1000 uL tips at High pressure 1 time,12.16,
Aspirate 935 uLs with 1000 uL tips at High pressure 1 time,5.73,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 350000,12.56,
Dispense 935 uLs with 1000 uL tips at High pressure 1 time,6.55,
Delay for 3 seconds,3.01,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.2,
Move to Reagent Cartridge tray A column 12 with 1000 uL tips,12.8,
Mix 935 uLs with 1000 uL tips at High pressure 1 time,12.14,
Aspirate 935 uLs with 1000 uL tips at High pressure 1 time,5.56,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 350000,12.57,
Dispense 935 uLs with 1000 uL tips at High pressure 1 time,6.6,
Delay for 3 seconds,3.01,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.21,
Delay for 3 seconds,3.02,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.18,
Home pipettor fast,12.79,
Shake on with an RPM of 1000,20.05,
Eject tips in A column 1,10.89,
Delay for 20 minutes,1200.02,
Pickup tips from A column 4,22.17,
Shake off,10.02,
Move to Heater/Shaker column 1 with 1000 uL tips,8.24,
Aspirate 860 uLs with 1000 uL tips at High pressure 1 time,5.57,
Move to Sample Rack tray A with 1000 uL tips moving left by 500 up by 270000,12.58,
Shake on with an RPM of 1000,20.04,
Delay for 45 seconds,45.02,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.19,
Delay for 5 seconds,5.02,
Dispense 160 uLs with 1000 uL tips at High pressure 1 time,4.53,
Delay for 5 seconds,5.02,
Dispense 160 uLs with 1000 uL tips at High pressure 1 time,4.38,
Delay for 5 seconds,5.01,
Dispense 160 uLs with 1000 uL tips at High pressure 1 time,4.42,
Delay for 5 seconds,5.01,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.48,
Move relative right by 3000,1.36,
Move to Mag Separator column 1 with 1000 uL tips moving up by 30000,13.03,
Shake off,10.01,
Dispense 80 uLs with 1000 uL tips at High pressure 1 time,4.23,
Delay for 3 seconds,3.02,
Dispense 25 uLs with 1000 uL tips at High pressure 1 time,4.13,
Move to Heater/Shaker column 1 with 1000 uL tips,11.22,
Aspirate 860 uLs with 1000 uL tips at High pressure 1 time,5.53,
Move to Sample Rack tray A with 1000 uL tips moving left by 500 up by 270000,12.75,
Shake on with an RPM of 1000,20.05,
Delay for 45 seconds,45.02,
Dispense 100 uLs with 1000 uL tips at High pressure 1 time,4.21,
Delay for 5 seconds,5.01,
Dispense 160 uLs with 1000 uL tips at High pressure 1 time,4.46,
Delay for 5 seconds,5.01,
Dispense 160 uLs with 1000 uL tips at High pressure 1 time,4.36,
Delay for 5 seconds,5.01,
Dispense 160 uLs with 1000 uL tips at High pressure 1 time,4.5,
Delay for 5 seconds,5.02,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.47,
Move relative right by 3000,1.37,
Move to Mag Separator column 1 with 1000 uL tips moving up by 30000,13.01,
Shake off,10.02,
Dispense 80 uLs with 1000 uL tips at High pressure 1 time,4.17,
Delay for 3 seconds,3.02,
Dispense 25 uLs with 1000 uL tips at High pressure 1 time,4.2,
Move to Heater/Shaker column 1 with 1000 uL tips,11.18,
Aspirate 860 uLs with 1000 uL tips at High pressure 1 time,5.48,
Move to Sample Rack tray A with 1000 uL tips moving left by 500 up by 270000,12.71,
Shake on with an RPM of 1000,20.04,
Delay for 45 seconds,45.03,
