Pickup tips from A column 12,17.74,
Eject tips in A column 12,12.7,
Pickup tips from A column 6,22.85,
Change the Heater/Shaker temperature to 37.0 C,20.13,
Change the Heater/Shaker temperature to 60.0 C,20.05,
Change the Heater/Shaker temperature to 60.0 C,20.06,
Change the Heater/Shaker temperature to 60.0 C,20.05,
Move clamp A,0.29,
Move clamp B,0.29,
Move clamp C,0.29,
Move clamp D,1.84,
Change the Heater/Shaker temperature to 37.0 C,20.06,
Change the Heater/Shaker temperature to 37.0 C,20.07,
Change the Heater/Shaker temperature to 37.0 C,20.11,
Move clamp D,0.26,
Move tray CD,7.72,
Move clamp D,0.1,
Move clamp D,0.09,
