Move to Reagent Cartridge tray A column 9 with 200 uL tips,6.79,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.61,
Move relative up by 20000,0.9,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.35,
Move relative down by 20000,0.9,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.6,
Move relative up by 20000,0.97,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.37,
Move relative down by 20000,0.97,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.62,
Move relative up by 20000,0.95,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.37,
Move relative down by 20000,0.96,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.6,
Move relative up by 20000,0.93,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.36,
Move relative down by 20000,0.97,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.65,
Move relative up by 20000,0.92,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.37,
Move relative down by 20000,0.96,
Move relative up by 20000,0.98,
Delay for 2 seconds,2.02,
Dispense 25 uLs with 200 uL tips at Low pressure 1 time,4.04,
Move relative down by 20000,0.95,
Eject tips in A column 6,11.68,
Pickup tips from A column 7,14.13,
Move to Mag Separator column 1 with 200 uL tips,7.25,
Aspirate 60 uLs with 200 uL tips at Low pressure 1 time,3.5,
Move to Mag Separator column 2 with 200 uL tips moving up by 100000,7.92,
Dispense 60 uLs with 200 uL tips at Low pressure 1 time,4.13,
Delay for 2 seconds,2.02,
Dispense 20 uLs with 200 uL tips at Low pressure 1 time,3.99,
Move relative down by 100000,0.96,
Eject tips in A column 7,13.09,
Disengage magnet,0.26,
Pickup tips from A column 8,14.31,
Move to Reagent Cartridge tray A column 5 with 200 uL tips,6.13,
Aspirate 40 uLs with 200 uL tips at Low pressure 1 time,3.36,
Move to Mag Separator column 2 with 200 uL tips moving up by 40000,8.85,
Dispense 40 uLs with 200 uL tips at Low pressure 1 time,4.15,
Delay for 2 seconds,2.02,
Dispense 20 uLs with 200 uL tips at Low pressure 1 time,3.97,
Move relative down by 40000,0.98,
Eject tips in A column 8,13.23,
Pickup tips from A column 9,14.28,
Move to Reagent Cartridge tray A column 9 with 200 uL tips,5.87,
Aspirate 90 uLs with 200 uL tips at Low pressure 1 time,3.53,
Move to Mag Separator column 2 with 200 uL tips moving up by 40000,9.11,
Dispense 90 uLs with 200 uL tips at Low pressure 1 time,4.42,
Delay for 2 seconds,2.02,
Dispense 20 uLs with 200 uL tips at Low pressure 1 time,4.02,
Move relative down by 40000,0.97,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.72,
Delay for 1 seconds,1.01,
Dispense 150 uLs with 200 uL tips at Low pressure 1 time,4.61,
Delay for 1 seconds,1.02,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.74,
Delay for 1 seconds,1.02,
