Seyonic Pipettor Initializing...,Tue Oct  3 12:46:17 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:46:38 2023,
close_valve(channel=0),Tue Oct  3 12:46:40 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:46:41 2023,
dispense(pressure=100),Tue Oct  3 12:46:52 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:46:52 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:46:54 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:47:32 2023,
close_valve(channel=0),Tue Oct  3 12:47:33 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:47:34 2023,
dispense(pressure=100),Tue Oct  3 12:47:43 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:47:43 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:47:45 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:47:47 2023,
close_valve(channel=0),Tue Oct  3 12:47:48 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:47:49 2023,
dispense(pressure=100),Tue Oct  3 12:47:50 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:47:50 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:47:52 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:47:54 2023,
close_valve(channel=0),Tue Oct  3 12:47:55 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:47:56 2023,
dispense(pressure=100),Tue Oct  3 12:47:57 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:47:57 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:47:59 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:48:01 2023,
close_valve(channel=0),Tue Oct  3 12:48:02 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:48:03 2023,
dispense(pressure=100),Tue Oct  3 12:48:04 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:48:04 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:48:06 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:48:08 2023,
close_valve(channel=0),Tue Oct  3 12:48:09 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:48:10 2023,
dispense(pressure=100),Tue Oct  3 12:48:32 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:48:32 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:48:34 2023,
