Seyonic Pipettor Initializing...,Tue Nov 14 11:32:45 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:32:47 2023,
close_valve(channel=2),Tue Nov 14 11:32:48 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:32:49 2023,
close_valve(channel=0),Tue Nov 14 11:32:49 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:32:50 2023,
dispense(pressure=100),Tue Nov 14 11:32:52 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:32:52 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:33:04 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:33:07 2023,
close_valve(channel=2),Tue Nov 14 11:33:08 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:33:09 2023,
close_valve(channel=0),Tue Nov 14 11:33:09 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:33:10 2023,
dispense(pressure=100),Tue Nov 14 11:33:12 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:33:12 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:33:24 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:34:57 2023,
close_valve(channel=2),Tue Nov 14 11:34:58 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:34:59 2023,
close_valve(channel=0),Tue Nov 14 11:35:00 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:35:01 2023,
dispense(pressure=100),Tue Nov 14 11:35:10 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:35:10 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:35:12 2023,
dispense(pressure=100),Tue Nov 14 11:35:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:35:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:35:18 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 11:35:27 2023,
close_valve(channel=0),Tue Nov 14 11:35:29 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 11:35:30 2023,
dispense(pressure=100),Tue Nov 14 11:35:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 11:35:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 11:35:51 2023,
