Seyonic Pipettor Initializing...,Fri Nov  3 14:49:02 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:49:03 2023,
close_valve(channel=0),Fri Nov  3 14:49:04 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:49:05 2023,
dispense(pressure=100),Fri Nov  3 14:49:07 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:49:07 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:49:10 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:49:13 2023,
close_valve(channel=0),Fri Nov  3 14:49:14 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:49:15 2023,
dispense(pressure=100),Fri Nov  3 14:49:17 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:49:17 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:49:20 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:49:23 2023,
close_valve(channel=0),Fri Nov  3 14:49:24 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:49:25 2023,
dispense(pressure=100),Fri Nov  3 14:49:27 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:49:27 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:49:29 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:49:32 2023,
close_valve(channel=0),Fri Nov  3 14:49:34 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:49:35 2023,
dispense(pressure=100),Fri Nov  3 14:49:37 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:49:37 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:49:39 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:49:42 2023,
close_valve(channel=0),Fri Nov  3 14:49:44 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:49:45 2023,
dispense(pressure=100),Fri Nov  3 14:49:47 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:49:47 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:49:49 2023,
dispense(pressure=100),Fri Nov  3 14:49:55 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:49:55 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:49:57 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:50:33 2023,
close_valve(channel=0),Fri Nov  3 14:50:34 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:50:35 2023,
dispense(pressure=100),Fri Nov  3 14:50:45 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:50:45 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:50:47 2023,
dispense(pressure=100),Fri Nov  3 14:50:51 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:50:51 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:50:53 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:51:30 2023,
close_valve(channel=0),Fri Nov  3 14:51:31 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:51:32 2023,
dispense(pressure=100),Fri Nov  3 14:51:42 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:51:42 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:51:44 2023,
dispense(pressure=100),Fri Nov  3 14:51:48 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:51:48 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:51:50 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:52:26 2023,
close_valve(channel=0),Fri Nov  3 14:52:27 2023,
