Seyonic Pipettor Initializing...,Tue Nov  7 13:01:06 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:01:26 2023,
close_valve(channel=0),Tue Nov  7 13:01:29 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:01:30 2023,
dispense(pressure=100),Tue Nov  7 13:01:32 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:01:32 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:01:37 2023,
dispense(pressure=100),Tue Nov  7 13:01:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:01:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:01:46 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:01:49 2023,
close_valve(channel=0),Tue Nov  7 13:01:53 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:01:54 2023,
dispense(pressure=100),Tue Nov  7 13:02:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:02:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:02:07 2023,
dispense(pressure=100),Tue Nov  7 13:02:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:02:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:02:13 2023,
dispense(pressure=100),Tue Nov  7 13:02:17 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:02:17 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:02:20 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:02:28 2023,
close_valve(channel=0),Tue Nov  7 13:02:32 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:02:33 2023,
dispense(pressure=100),Tue Nov  7 13:02:35 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:02:35 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:02:39 2023,
dispense(pressure=100),Tue Nov  7 13:02:43 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:02:43 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:02:45 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:02:48 2023,
close_valve(channel=0),Tue Nov  7 13:02:52 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:02:53 2023,
dispense(pressure=100),Tue Nov  7 13:03:01 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:03:01 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:03:06 2023,
dispense(pressure=100),Tue Nov  7 13:03:10 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:03:10 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:03:12 2023,
dispense(pressure=100),Tue Nov  7 13:03:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:03:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:03:19 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:03:27 2023,
close_valve(channel=0),Tue Nov  7 13:03:31 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:03:32 2023,
dispense(pressure=100),Tue Nov  7 13:03:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:03:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:03:38 2023,
dispense(pressure=100),Tue Nov  7 13:03:42 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:03:42 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:03:44 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:03:47 2023,
close_valve(channel=0),Tue Nov  7 13:03:51 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:03:53 2023,
dispense(pressure=100),Tue Nov  7 13:04:00 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:04:00 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:04:05 2023,
dispense(pressure=100),Tue Nov  7 13:04:09 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:04:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:04:12 2023,
dispense(pressure=100),Tue Nov  7 13:04:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:04:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:04:18 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:04:27 2023,
close_valve(channel=0),Tue Nov  7 13:04:30 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:04:31 2023,
dispense(pressure=100),Tue Nov  7 13:04:33 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:04:33 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:04:37 2023,
dispense(pressure=100),Tue Nov  7 13:04:41 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:04:42 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:04:44 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:04:47 2023,
close_valve(channel=0),Tue Nov  7 13:04:51 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:04:52 2023,
dispense(pressure=100),Tue Nov  7 13:05:00 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:05:00 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:05:05 2023,
dispense(pressure=100),Tue Nov  7 13:05:09 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:05:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:05:11 2023,
dispense(pressure=100),Tue Nov  7 13:05:15 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:05:15 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:05:18 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:25:51 2023,
close_valve(channel=0),Tue Nov  7 13:25:55 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:25:56 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:26:01 2023,
close_valve(channel=0),Tue Nov  7 13:26:02 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:26:03 2023,
dispense(pressure=100),Tue Nov  7 13:26:56 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:26:56 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:26:59 2023,
dispense(pressure=100),Tue Nov  7 13:27:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:08 2023,
dispense(pressure=100),Tue Nov  7 13:27:15 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:15 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:17 2023,
dispense(pressure=100),Tue Nov  7 13:27:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:27 2023,
dispense(pressure=100),Tue Nov  7 13:27:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:37 2023,
dispense(pressure=100),Tue Nov  7 13:27:47 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:47 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:49 2023,
