Seyonic Pipettor Initializing...,Thu Nov  9 09:51:29 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 09:51:49 2023,
close_valve(channel=0),Thu Nov  9 09:51:52 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 09:51:53 2023,
dispense(pressure=100),Thu Nov  9 09:51:55 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:51:55 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:51:59 2023,
dispense(pressure=100),Thu Nov  9 09:52:07 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:52:07 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:52:09 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 09:52:12 2023,
close_valve(channel=0),Thu Nov  9 09:52:16 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 09:52:17 2023,
dispense(pressure=100),Thu Nov  9 09:52:25 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:52:25 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:52:29 2023,
dispense(pressure=100),Thu Nov  9 09:52:34 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:52:34 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:52:36 2023,
dispense(pressure=100),Thu Nov  9 09:52:40 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:52:40 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:52:43 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 09:52:51 2023,
close_valve(channel=0),Thu Nov  9 09:52:54 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 09:52:55 2023,
dispense(pressure=100),Thu Nov  9 09:52:57 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:52:57 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:53:01 2023,
dispense(pressure=100),Thu Nov  9 09:53:05 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 09:53:05 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 09:53:08 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 09:53:11 2023,
close_valve(channel=0),Thu Nov  9 09:53:15 2023,
