Seyonic Pipettor Initializing...,Thu Jun  1 10:37:45 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:38:12 2023,
close_valve(channel=0),Thu Jun  1 10:38:13 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:38:14 2023,
dispense(pressure=100),Thu Jun  1 10:38:36 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:38:36 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:38:38 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:41:29 2023,
close_valve(channel=0),Thu Jun  1 10:41:30 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:41:31 2023,
dispense(pressure=100),Thu Jun  1 10:41:47 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:41:47 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:41:49 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:41:51 2023,
close_valve(channel=0),Thu Jun  1 10:41:52 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:41:53 2023,
dispense(pressure=100),Thu Jun  1 10:41:59 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:41:59 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:42:01 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:42:06 2023,
close_valve(channel=0),Thu Jun  1 10:42:07 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:42:08 2023,
dispense(pressure=100),Thu Jun  1 10:42:13 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:42:13 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:42:15 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:42:20 2023,
close_valve(channel=0),Thu Jun  1 10:42:21 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:42:22 2023,
dispense(pressure=100),Thu Jun  1 10:42:27 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:42:27 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:42:29 2023,
dispense(pressure=100),Thu Jun  1 10:42:40 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:42:40 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:42:42 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:42:46 2023,
close_valve(channel=0),Thu Jun  1 10:42:47 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:42:48 2023,
dispense(pressure=100),Thu Jun  1 10:42:52 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:42:52 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:42:54 2023,
dispense(pressure=100),Thu Jun  1 10:42:59 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:42:59 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:43:01 2023,
set_pressure(pressure=-13; direction=None),Thu Jun  1 10:43:06 2023,
close_valve(channel=0),Thu Jun  1 10:43:08 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:43:09 2023,
dispense(pressure=10),Thu Jun  1 10:43:27 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:43:27 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:43:30 2023,
open_valve(),Thu Jun  1 10:43:31 2023,
close_valve(channel=0),Thu Jun  1 10:43:42 2023,
