Seyonic Pipettor Initializing...,Thu Jun 29 13:08:56 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:09:15 2023,
close_valve(channel=0),Thu Jun 29 13:09:18 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:09:19 2023,
dispense(pressure=241),Thu Jun 29 13:09:21 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:09:21 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:09:23 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:09:26 2023,
close_valve(channel=0),Thu Jun 29 13:09:28 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:09:29 2023,
dispense(pressure=241),Thu Jun 29 13:09:31 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:09:31 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:09:33 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:09:36 2023,
close_valve(channel=0),Thu Jun 29 13:09:38 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:09:39 2023,
dispense(pressure=241),Thu Jun 29 13:09:41 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:09:41 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:09:43 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:09:46 2023,
close_valve(channel=0),Thu Jun 29 13:09:48 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:09:49 2023,
dispense(pressure=241),Thu Jun 29 13:09:51 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:09:51 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:09:53 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:09:56 2023,
close_valve(channel=0),Thu Jun 29 13:09:59 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:10:00 2023,
dispense(pressure=241),Thu Jun 29 13:10:01 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:10:02 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:10:04 2023,
dispense(pressure=100),Thu Jun 29 13:10:18 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:10:18 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:10:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:10:54 2023,
close_valve(channel=0),Thu Jun 29 13:10:56 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:10:57 2023,
dispense(pressure=100),Thu Jun 29 13:11:05 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:11:05 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:11:07 2023,
dispense(pressure=100),Thu Jun 29 13:11:14 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:11:14 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:11:16 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:11:51 2023,
close_valve(channel=0),Thu Jun 29 13:11:53 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:11:54 2023,
dispense(pressure=100),Thu Jun 29 13:12:04 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:12:04 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:12:06 2023,
dispense(pressure=100),Thu Jun 29 13:12:18 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:12:18 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:12:20 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:12:23 2023,
close_valve(channel=0),Thu Jun 29 13:12:25 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:12:26 2023,
dispense(pressure=241),Thu Jun 29 13:12:29 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:12:29 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:12:32 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:12:36 2023,
close_valve(channel=0),Thu Jun 29 13:12:38 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:12:39 2023,
dispense(pressure=241),Thu Jun 29 13:12:42 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:12:42 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:12:44 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:12:48 2023,
close_valve(channel=0),Thu Jun 29 13:12:51 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:12:52 2023,
dispense(pressure=241),Thu Jun 29 13:12:55 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:12:55 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:12:57 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:13:01 2023,
close_valve(channel=0),Thu Jun 29 13:13:03 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:13:04 2023,
dispense(pressure=241),Thu Jun 29 13:13:07 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:13:07 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:13:10 2023,
set_pressure(pressure=-240; direction=None),Thu Jun 29 13:13:14 2023,
close_valve(channel=0),Thu Jun 29 13:13:16 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:13:17 2023,
dispense(pressure=241),Thu Jun 29 13:13:20 2023,
set_pressure(pressure=241; direction=1),Thu Jun 29 13:13:20 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:13:22 2023,
dispense(pressure=100),Thu Jun 29 13:13:37 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:13:37 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:13:39 2023,
dispense(pressure=100),Thu Jun 29 13:13:51 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:13:51 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:13:53 2023,
dispense(pressure=100),Thu Jun 29 13:14:05 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:14:05 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:14:07 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:16:43 2023,
close_valve(channel=0),Thu Jun 29 13:16:44 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:16:45 2023,
dispense(pressure=100),Thu Jun 29 13:16:47 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:16:47 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:16:50 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:16:53 2023,
close_valve(channel=0),Thu Jun 29 13:16:54 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:16:55 2023,
dispense(pressure=100),Thu Jun 29 13:16:57 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:16:57 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:16:59 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:17:02 2023,
close_valve(channel=0),Thu Jun 29 13:17:04 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:17:05 2023,
dispense(pressure=100),Thu Jun 29 13:17:07 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:17:07 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:17:09 2023,
dispense(pressure=100),Thu Jun 29 13:17:22 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:17:22 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:17:24 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:19:58 2023,
close_valve(channel=0),Thu Jun 29 13:19:59 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:20:00 2023,
dispense(pressure=100),Thu Jun 29 13:20:09 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:20:09 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:20:12 2023,
dispense(pressure=100),Thu Jun 29 13:20:17 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:20:17 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:20:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:20:30 2023,
close_valve(channel=0),Thu Jun 29 13:20:32 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:20:33 2023,
dispense(pressure=100),Thu Jun 29 13:20:48 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:20:48 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:20:50 2023,
dispense(pressure=100),Thu Jun 29 13:21:03 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:21:03 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:21:05 2023,
dispense(pressure=100),Thu Jun 29 13:21:17 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:21:17 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:21:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:21:22 2023,
close_valve(channel=0),Thu Jun 29 13:21:23 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:21:24 2023,
dispense(pressure=200),Thu Jun 29 13:21:26 2023,
set_pressure(pressure=200; direction=1),Thu Jun 29 13:21:26 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:21:29 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:21:31 2023,
close_valve(channel=0),Thu Jun 29 13:21:33 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:21:34 2023,
dispense(pressure=200),Thu Jun 29 13:21:36 2023,
set_pressure(pressure=200; direction=1),Thu Jun 29 13:21:36 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:21:38 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:21:41 2023,
close_valve(channel=0),Thu Jun 29 13:21:43 2023,
