Seyonic Pipettor Initializing...,Fri Jun 30 10:37:26 2023,
dispense(pressure=200),Fri Jun 30 10:37:27 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:37:27 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:37:30 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:37:32 2023,
close_valve(channel=0),Fri Jun 30 10:37:35 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:37:36 2023,
dispense(pressure=200),Fri Jun 30 10:37:37 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:37:37 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:37:41 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:37:43 2023,
close_valve(channel=0),Fri Jun 30 10:37:46 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:37:47 2023,
dispense(pressure=200),Fri Jun 30 10:37:48 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 10:37:48 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 10:37:51 2023,
