Seyonic Pipettor Initializing...,Tue Jun  6 11:04:03 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:04:13 2023,
close_valve(channel=0),Tue Jun  6 11:04:15 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:04:16 2023,
dispense(pressure=100),Tue Jun  6 11:04:20 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:04:20 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:04:22 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:04:26 2023,
close_valve(channel=0),Tue Jun  6 11:04:28 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:04:29 2023,
dispense(pressure=100),Tue Jun  6 11:04:33 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:04:33 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:04:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:04:39 2023,
close_valve(channel=0),Tue Jun  6 11:04:41 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:04:42 2023,
dispense(pressure=100),Tue Jun  6 11:04:46 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:04:46 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:04:48 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:04:52 2023,
close_valve(channel=0),Tue Jun  6 11:04:54 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:04:55 2023,
dispense(pressure=100),Tue Jun  6 11:04:59 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:04:59 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:05:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:05:05 2023,
close_valve(channel=0),Tue Jun  6 11:05:07 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:05:08 2023,
dispense(pressure=100),Tue Jun  6 11:05:12 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:05:12 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:05:14 2023,
dispense(pressure=100),Tue Jun  6 11:05:30 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:05:30 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:05:32 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:06:24 2023,
close_valve(channel=0),Tue Jun  6 11:06:26 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:06:27 2023,
dispense(pressure=100),Tue Jun  6 11:06:42 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:06:42 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:06:44 2023,
dispense(pressure=100),Tue Jun  6 11:06:51 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:06:51 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:06:53 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 11:07:46 2023,
close_valve(channel=0),Tue Jun  6 11:07:48 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:07:49 2023,
dispense(pressure=10),Tue Jun  6 11:08:06 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:08:06 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:08:08 2023,
dispense(pressure=10),Tue Jun  6 11:08:16 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:08:16 2023,
