Seyonic Pipettor Initializing...,Wed Jul 12 13:22:24 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:22:32 2023,
close_valve(channel=0),Wed Jul 12 13:22:34 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:22:35 2023,
dispense(pressure=241),Wed Jul 12 13:22:37 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:22:37 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:22:39 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:22:42 2023,
close_valve(channel=0),Wed Jul 12 13:22:45 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:22:46 2023,
dispense(pressure=241),Wed Jul 12 13:22:48 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:22:48 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:22:50 2023,
dispense(pressure=241),Wed Jul 12 13:22:55 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:22:55 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:22:57 2023,
dispense(pressure=100),Wed Jul 12 13:23:04 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:23:04 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:23:06 2023,
dispense(pressure=100),Wed Jul 12 13:23:10 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:23:10 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:23:12 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:23:49 2023,
close_valve(channel=0),Wed Jul 12 13:23:50 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:23:51 2023,
dispense(pressure=100),Wed Jul 12 13:24:01 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:24:01 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:24:03 2023,
dispense(pressure=100),Wed Jul 12 13:24:10 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:24:10 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:24:12 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:24:47 2023,
close_valve(channel=0),Wed Jul 12 13:24:49 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:24:50 2023,
dispense(pressure=100),Wed Jul 12 13:25:00 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:25:00 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:25:02 2023,
dispense(pressure=100),Wed Jul 12 13:25:14 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:25:14 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:25:16 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:25:19 2023,
close_valve(channel=0),Wed Jul 12 13:25:21 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:25:22 2023,
dispense(pressure=241),Wed Jul 12 13:25:25 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:25:25 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:25:27 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:25:32 2023,
close_valve(channel=0),Wed Jul 12 13:25:34 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:25:35 2023,
dispense(pressure=241),Wed Jul 12 13:25:38 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:25:38 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:25:40 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:25:44 2023,
close_valve(channel=0),Wed Jul 12 13:25:46 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:25:48 2023,
dispense(pressure=241),Wed Jul 12 13:25:51 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:25:51 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:25:53 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:25:57 2023,
close_valve(channel=0),Wed Jul 12 13:25:59 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:26:00 2023,
dispense(pressure=241),Wed Jul 12 13:26:03 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:26:03 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:26:05 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:26:09 2023,
close_valve(channel=0),Wed Jul 12 13:26:12 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:26:13 2023,
dispense(pressure=241),Wed Jul 12 13:26:16 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:26:16 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:26:18 2023,
set_pressure(pressure=-240; direction=None),Wed Jul 12 13:26:22 2023,
close_valve(channel=0),Wed Jul 12 13:26:24 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:26:25 2023,
dispense(pressure=241),Wed Jul 12 13:26:28 2023,
set_pressure(pressure=241; direction=1),Wed Jul 12 13:26:28 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:26:30 2023,
