Seyonic Pipettor Initializing...,Fri Jul 14 15:36:01 2023,
change_timeout(timeout_in_seconds=200),Fri Jul 14 15:36:43 2023,
set_pressure(pressure=-241; direction=2),Fri Jul 14 15:36:43 2023,
open_valve(),Fri Jul 14 15:36:44 2023,
close_valve(channel=0),Fri Jul 14 15:39:31 2023,
set_pressure(pressure=0; direction=2),Fri Jul 14 15:39:31 2023,
set_pressure(pressure=241; direction=1),Fri Jul 14 15:39:31 2023,
set_pressure(pressure=0; direction=1),Fri Jul 14 15:39:31 2023,
change_timeout(timeout_in_seconds=65),Fri Jul 14 15:39:34 2023,
change_timeout(timeout_in_seconds=200),Fri Jul 14 15:39:43 2023,
set_pressure(pressure=-241; direction=2),Fri Jul 14 15:39:43 2023,
open_valve(),Fri Jul 14 15:39:44 2023,
close_valve(channel=0),Fri Jul 14 15:42:31 2023,
set_pressure(pressure=0; direction=2),Fri Jul 14 15:42:31 2023,
set_pressure(pressure=241; direction=1),Fri Jul 14 15:42:31 2023,
set_pressure(pressure=0; direction=1),Fri Jul 14 15:42:31 2023,
change_timeout(timeout_in_seconds=65),Fri Jul 14 15:42:34 2023,
