Seyonic Pipettor Initializing...,Tue Jul 18 11:49:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:49:43 2023,
close_valve(channel=0),Tue Jul 18 11:49:44 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:49:46 2023,
dispense(pressure=100),Tue Jul 18 11:49:48 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:49:48 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:49:50 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:49:53 2023,
close_valve(channel=0),Tue Jul 18 11:49:55 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:49:56 2023,
dispense(pressure=100),Tue Jul 18 11:49:58 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:49:58 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:50:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:50:04 2023,
close_valve(channel=0),Tue Jul 18 11:50:05 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:50:06 2023,
dispense(pressure=100),Tue Jul 18 11:50:08 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:50:08 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:50:11 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:50:14 2023,
close_valve(channel=0),Tue Jul 18 11:50:16 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:50:17 2023,
dispense(pressure=100),Tue Jul 18 11:50:19 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:50:19 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:50:22 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:50:25 2023,
close_valve(channel=0),Tue Jul 18 11:50:26 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:50:27 2023,
dispense(pressure=100),Tue Jul 18 11:50:29 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:50:29 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:50:32 2023,
dispense(pressure=100),Tue Jul 18 11:50:46 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:50:46 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:50:48 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:51:23 2023,
close_valve(channel=0),Tue Jul 18 11:51:24 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:51:25 2023,
dispense(pressure=100),Tue Jul 18 11:51:34 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:51:34 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:51:36 2023,
dispense(pressure=100),Tue Jul 18 11:51:43 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:51:44 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:51:45 2023,
set_pressure(pressure=-20; direction=None),Tue Jul 18 11:52:21 2023,
close_valve(channel=0),Tue Jul 18 11:52:23 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:52:24 2023,
dispense(pressure=20),Tue Jul 18 11:52:34 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:52:34 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:52:36 2023,
dispense(pressure=20),Tue Jul 18 11:52:43 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:52:44 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:52:46 2023,
set_pressure(pressure=-20; direction=None),Tue Jul 18 11:53:21 2023,
close_valve(channel=0),Tue Jul 18 11:53:25 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:53:26 2023,
dispense(pressure=20),Tue Jul 18 11:53:36 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:53:36 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:53:40 2023,
dispense(pressure=20),Tue Jul 18 11:53:52 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:53:52 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:53:54 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:53:57 2023,
close_valve(channel=0),Tue Jul 18 11:53:59 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:54:00 2023,
dispense(pressure=100),Tue Jul 18 11:54:03 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:54:03 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:54:06 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:54:10 2023,
close_valve(channel=0),Tue Jul 18 11:54:11 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:54:12 2023,
dispense(pressure=100),Tue Jul 18 11:54:16 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:54:16 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:54:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:54:22 2023,
close_valve(channel=0),Tue Jul 18 11:54:24 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:54:25 2023,
dispense(pressure=100),Tue Jul 18 11:54:28 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:54:28 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:54:31 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 11:54:35 2023,
close_valve(channel=0),Tue Jul 18 11:54:37 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:54:38 2023,
dispense(pressure=100),Tue Jul 18 11:54:41 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:54:41 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:54:43 2023,
dispense(pressure=100),Tue Jul 18 11:54:58 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:54:58 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:55:00 2023,
dispense(pressure=100),Tue Jul 18 11:55:13 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:55:13 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:55:15 2023,
dispense(pressure=100),Tue Jul 18 11:55:27 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 11:55:27 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:55:29 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:01:43 2023,
close_valve(channel=0),Tue Jul 18 12:01:45 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:01:46 2023,
dispense(pressure=100),Tue Jul 18 12:01:48 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:01:48 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:01:51 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:01:54 2023,
close_valve(channel=0),Tue Jul 18 12:01:55 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:01:56 2023,
dispense(pressure=100),Tue Jul 18 12:01:58 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:01:58 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:02:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:02:04 2023,
close_valve(channel=0),Tue Jul 18 12:02:06 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:02:07 2023,
dispense(pressure=100),Tue Jul 18 12:02:09 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:02:09 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:02:12 2023,
dispense(pressure=100),Tue Jul 18 12:02:25 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:02:25 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:02:27 2023,
set_pressure(pressure=-20; direction=None),Tue Jul 18 12:05:01 2023,
close_valve(channel=6),Tue Jul 18 12:05:06 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:05:07 2023,
close_valve(channel=0),Tue Jul 18 12:05:08 2023,
