Seyonic Pipettor Initializing...,Thu Jul 27 15:21:47 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:21:55 2023,
close_valve(channel=0),Thu Jul 27 15:21:57 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:21:58 2023,
dispense(pressure=100),Thu Jul 27 15:22:00 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:22:00 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:22:03 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:22:06 2023,
close_valve(channel=0),Thu Jul 27 15:22:08 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:22:09 2023,
dispense(pressure=100),Thu Jul 27 15:22:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:22:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:22:14 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:22:17 2023,
close_valve(channel=0),Thu Jul 27 15:22:19 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:22:20 2023,
dispense(pressure=100),Thu Jul 27 15:22:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:22:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:22:25 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:22:28 2023,
close_valve(channel=0),Thu Jul 27 15:22:30 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:22:31 2023,
dispense(pressure=100),Thu Jul 27 15:22:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:22:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:22:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:22:38 2023,
close_valve(channel=0),Thu Jul 27 15:22:41 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:22:42 2023,
dispense(pressure=100),Thu Jul 27 15:22:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:22:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:22:46 2023,
dispense(pressure=100),Thu Jul 27 15:22:52 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:22:52 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:22:54 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:23:29 2023,
close_valve(channel=0),Thu Jul 27 15:23:31 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:23:32 2023,
dispense(pressure=100),Thu Jul 27 15:23:41 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:23:41 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:23:43 2023,
dispense(pressure=100),Thu Jul 27 15:23:47 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:23:47 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:23:49 2023,
set_pressure(pressure=-20; direction=None),Thu Jul 27 15:24:25 2023,
close_valve(channel=0),Thu Jul 27 15:24:26 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:24:28 2023,
dispense(pressure=20),Thu Jul 27 15:24:37 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:24:37 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:24:40 2023,
dispense(pressure=20),Thu Jul 27 15:24:44 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:24:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:24:46 2023,
set_pressure(pressure=-20; direction=None),Thu Jul 27 15:25:22 2023,
close_valve(channel=5),Thu Jul 27 15:25:28 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:25:29 2023,
close_valve(channel=0),Thu Jul 27 15:25:29 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:25:30 2023,
dispense(pressure=20),Thu Jul 27 15:25:40 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:25:40 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:25:46 2023,
dispense(pressure=20),Thu Jul 27 15:25:50 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:25:50 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:25:52 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:25:56 2023,
close_valve(channel=0),Thu Jul 27 15:25:58 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:25:59 2023,
dispense(pressure=100),Thu Jul 27 15:26:01 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:26:01 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:26:04 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:26:07 2023,
close_valve(channel=0),Thu Jul 27 15:26:09 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:26:10 2023,
dispense(pressure=100),Thu Jul 27 15:26:12 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:26:12 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:26:14 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:26:18 2023,
close_valve(channel=0),Thu Jul 27 15:26:20 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:26:21 2023,
dispense(pressure=100),Thu Jul 27 15:26:23 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:26:23 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:26:25 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:26:28 2023,
close_valve(channel=0),Thu Jul 27 15:26:30 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:26:31 2023,
dispense(pressure=100),Thu Jul 27 15:26:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:26:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:26:36 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:26:39 2023,
close_valve(channel=0),Thu Jul 27 15:26:41 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:26:42 2023,
dispense(pressure=100),Thu Jul 27 15:26:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:26:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:26:47 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:26:50 2023,
close_valve(channel=0),Thu Jul 27 15:26:52 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:26:53 2023,
dispense(pressure=100),Thu Jul 27 15:26:55 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:26:55 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:26:58 2023,
dispense(pressure=100),Thu Jul 27 15:27:04 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:27:04 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:27:06 2023,
dispense(pressure=100),Thu Jul 27 15:27:10 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:27:10 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:27:12 2023,
dispense(pressure=100),Thu Jul 27 15:27:17 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:27:17 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:27:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:27:54 2023,
close_valve(channel=0),Thu Jul 27 15:27:56 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:27:57 2023,
dispense(pressure=100),Thu Jul 27 15:27:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:27:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:28:02 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:28:05 2023,
close_valve(channel=0),Thu Jul 27 15:28:07 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:28:08 2023,
dispense(pressure=100),Thu Jul 27 15:28:10 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:28:10 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:28:13 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:28:16 2023,
close_valve(channel=0),Thu Jul 27 15:28:18 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:28:19 2023,
dispense(pressure=100),Thu Jul 27 15:28:21 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:28:21 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:28:24 2023,
dispense(pressure=100),Thu Jul 27 15:28:29 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 15:28:29 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:28:31 2023,
set_pressure(pressure=-20; direction=None),Thu Jul 27 15:31:05 2023,
close_valve(channel=5),Thu Jul 27 15:31:10 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:31:11 2023,
close_valve(channel=0),Thu Jul 27 15:31:12 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:31:13 2023,
dispense(pressure=20),Thu Jul 27 15:31:22 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:31:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:31:33 2023,
dispense(pressure=20),Thu Jul 27 15:31:38 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:31:38 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:31:41 2023,
set_pressure(pressure=-20; direction=None),Thu Jul 27 15:31:53 2023,
close_valve(channel=4),Thu Jul 27 15:31:58 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:31:59 2023,
close_valve(channel=0),Thu Jul 27 15:31:59 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 15:32:00 2023,
dispense(pressure=20),Thu Jul 27 15:32:13 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:32:13 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:32:24 2023,
dispense(pressure=20),Thu Jul 27 15:32:28 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:32:28 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:32:31 2023,
dispense(pressure=20),Thu Jul 27 15:32:35 2023,
set_pressure(pressure=20; direction=1),Thu Jul 27 15:32:35 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 15:32:38 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 15:32:41 2023,
close_valve(channel=0),Thu Jul 27 15:32:43 2023,
