Seyonic Pipettor Initializing...,Mon Jul 31 14:26:06 2023,
dispense(pressure=20),Mon Jul 31 14:26:07 2023,
set_pressure(pressure=20; direction=1),Mon Jul 31 14:26:07 2023,
set_pressure(pressure=0; direction=1),Mon Jul 31 14:26:09 2023,
set_pressure(pressure=-8; direction=None),Mon Jul 31 14:26:11 2023,
close_valve(channel=0),Mon Jul 31 14:26:13 2023,
set_pressure(pressure=0; direction=2),Mon Jul 31 14:26:14 2023,
dispense(pressure=20),Mon Jul 31 14:26:30 2023,
set_pressure(pressure=20; direction=1),Mon Jul 31 14:26:30 2023,
set_pressure(pressure=0; direction=1),Mon Jul 31 14:26:32 2023,
set_pressure(pressure=-8; direction=None),Mon Jul 31 14:26:36 2023,
close_valve(channel=0),Mon Jul 31 14:26:38 2023,
set_pressure(pressure=0; direction=2),Mon Jul 31 14:26:39 2023,
