Seyonic Pipettor Initializing...,Wed Jul  5 13:34:12 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:34:31 2023,
close_valve(channel=0),Wed Jul  5 13:34:33 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:34:35 2023,
dispense(pressure=241),Wed Jul  5 13:34:37 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:34:37 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:34:39 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:34:42 2023,
close_valve(channel=0),Wed Jul  5 13:34:44 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:34:45 2023,
dispense(pressure=241),Wed Jul  5 13:34:47 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:34:47 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:34:49 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:34:52 2023,
close_valve(channel=0),Wed Jul  5 13:34:54 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:34:55 2023,
dispense(pressure=241),Wed Jul  5 13:34:57 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:34:57 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:34:59 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:35:02 2023,
close_valve(channel=0),Wed Jul  5 13:35:04 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:35:05 2023,
dispense(pressure=241),Wed Jul  5 13:35:07 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:35:07 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:35:09 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:35:12 2023,
close_valve(channel=0),Wed Jul  5 13:35:15 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:35:16 2023,
dispense(pressure=241),Wed Jul  5 13:35:17 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:35:17 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:35:20 2023,
dispense(pressure=100),Wed Jul  5 13:35:33 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:35:33 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:35:35 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:36:11 2023,
close_valve(channel=0),Wed Jul  5 13:36:12 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:36:13 2023,
dispense(pressure=100),Wed Jul  5 13:36:22 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:36:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:36:24 2023,
dispense(pressure=100),Wed Jul  5 13:36:31 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:36:31 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:36:33 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 13:37:08 2023,
close_valve(channel=0),Wed Jul  5 13:37:10 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:37:11 2023,
dispense(pressure=100),Wed Jul  5 13:37:21 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:37:21 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:37:23 2023,
dispense(pressure=100),Wed Jul  5 13:37:35 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 13:37:35 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:37:37 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:37:40 2023,
close_valve(channel=0),Wed Jul  5 13:37:43 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:37:44 2023,
dispense(pressure=241),Wed Jul  5 13:37:47 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:37:47 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:37:49 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:37:53 2023,
close_valve(channel=0),Wed Jul  5 13:37:55 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:37:56 2023,
dispense(pressure=241),Wed Jul  5 13:37:59 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:37:59 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 13:38:01 2023,
set_pressure(pressure=-240; direction=None),Wed Jul  5 13:38:06 2023,
close_valve(channel=0),Wed Jul  5 13:38:08 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 13:38:09 2023,
dispense(pressure=241),Wed Jul  5 13:38:12 2023,
set_pressure(pressure=241; direction=1),Wed Jul  5 13:38:12 2023,
