Seyonic Pipettor Initializing...,Thu Jul  6 11:50:52 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:51:00 2023,
close_valve(channel=0),Thu Jul  6 11:51:03 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:51:04 2023,
dispense(pressure=200),Thu Jul  6 11:51:06 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:51:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:51:09 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:51:11 2023,
close_valve(channel=0),Thu Jul  6 11:51:15 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:51:16 2023,
dispense(pressure=200),Thu Jul  6 11:51:18 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:51:18 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:51:21 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:51:23 2023,
close_valve(channel=0),Thu Jul  6 11:51:26 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:51:27 2023,
dispense(pressure=100),Thu Jul  6 11:52:31 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:52:31 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:52:35 2023,
dispense(pressure=100),Thu Jul  6 11:52:39 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:52:39 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:52:42 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:54:52 2023,
close_valve(channel=0),Thu Jul  6 11:54:56 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:54:57 2023,
dispense(pressure=100),Thu Jul  6 11:55:06 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:55:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:55:10 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:55:43 2023,
close_valve(channel=0),Thu Jul  6 11:55:45 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:55:46 2023,
dispense(pressure=100),Thu Jul  6 11:55:54 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:55:54 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:55:57 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:56:09 2023,
close_valve(channel=0),Thu Jul  6 11:56:11 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:56:12 2023,
dispense(pressure=100),Thu Jul  6 11:56:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:56:13 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:56:15 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:56:17 2023,
close_valve(channel=0),Thu Jul  6 11:56:19 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:56:20 2023,
dispense(pressure=100),Thu Jul  6 11:56:21 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:56:21 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:56:24 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:56:26 2023,
close_valve(channel=0),Thu Jul  6 11:56:28 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:56:29 2023,
dispense(pressure=100),Thu Jul  6 11:56:30 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:56:30 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:56:33 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:56:55 2023,
close_valve(channel=0),Thu Jul  6 11:56:57 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:56:58 2023,
dispense(pressure=100),Thu Jul  6 11:56:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:56:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:57:01 2023,
dispense(pressure=100),Thu Jul  6 11:57:24 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:57:24 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:57:26 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:59:31 2023,
close_valve(channel=0),Thu Jul  6 11:59:34 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:59:35 2023,
dispense(pressure=100),Thu Jul  6 11:59:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:59:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:59:47 2023,
dispense(pressure=100),Thu Jul  6 11:59:54 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:59:54 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:59:56 2023,
dispense(pressure=100),Thu Jul  6 12:00:03 2023,
