Seyonic Pipettor Initializing...,Fri Jul  7 10:48:01 2023,
set_pressure(pressure=-50; direction=None),Fri Jul  7 10:48:20 2023,
close_valve(channel=2),Fri Jul  7 10:48:26 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:48:27 2023,
close_valve(channel=0),Fri Jul  7 10:48:27 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:48:28 2023,
set_pressure(pressure=-50; direction=None),Fri Jul  7 10:48:41 2023,
close_valve(channel=0),Fri Jul  7 10:48:43 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:48:44 2023,
dispense(pressure=50),Fri Jul  7 10:49:30 2023,
set_pressure(pressure=50; direction=1),Fri Jul  7 10:49:30 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:49:41 2023,
dispense(pressure=50),Fri Jul  7 10:49:44 2023,
set_pressure(pressure=50; direction=1),Fri Jul  7 10:49:44 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:49:47 2023,
dispense(pressure=50),Fri Jul  7 10:49:50 2023,
set_pressure(pressure=50; direction=1),Fri Jul  7 10:49:50 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:49:52 2023,
