Seyonic Pipettor Initializing...,Tue Aug  1 12:46:00 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:46:07 2023,
close_valve(channel=0),Tue Aug  1 12:46:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:46:10 2023,
dispense(pressure=100),Tue Aug  1 12:46:12 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:46:12 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:46:15 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:46:18 2023,
close_valve(channel=0),Tue Aug  1 12:46:20 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:46:21 2023,
dispense(pressure=100),Tue Aug  1 12:46:23 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:46:23 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:46:26 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:46:29 2023,
close_valve(channel=0),Tue Aug  1 12:46:31 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:46:32 2023,
dispense(pressure=100),Tue Aug  1 12:46:34 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:46:34 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:46:36 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:46:39 2023,
close_valve(channel=0),Tue Aug  1 12:46:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:46:42 2023,
dispense(pressure=100),Tue Aug  1 12:46:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:46:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:46:47 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:46:50 2023,
close_valve(channel=0),Tue Aug  1 12:46:52 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:46:53 2023,
dispense(pressure=100),Tue Aug  1 12:46:55 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:46:55 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:46:58 2023,
dispense(pressure=100),Tue Aug  1 12:47:04 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:47:04 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:47:06 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:47:41 2023,
close_valve(channel=0),Tue Aug  1 12:47:42 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:47:43 2023,
dispense(pressure=100),Tue Aug  1 12:47:52 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:47:52 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:47:54 2023,
dispense(pressure=100),Tue Aug  1 12:47:58 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:47:58 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:48:00 2023,
