Seyonic Pipettor Initializing...,Tue Aug 22 14:29:33 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:29:44 2023,
close_valve(channel=0),Tue Aug 22 14:29:46 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:29:47 2023,
dispense(pressure=100),Tue Aug 22 14:29:56 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:29:56 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:29:59 2023,
dispense(pressure=100),Tue Aug 22 14:30:04 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:30:04 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:30:06 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:30:17 2023,
close_valve(channel=0),Tue Aug 22 14:30:18 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:30:19 2023,
dispense(pressure=100),Tue Aug 22 14:30:31 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:30:31 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:30:34 2023,
dispense(pressure=100),Tue Aug 22 14:30:38 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:30:38 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:30:40 2023,
dispense(pressure=100),Tue Aug 22 14:30:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:30:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:30:46 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:30:49 2023,
close_valve(channel=0),Tue Aug 22 14:30:51 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:30:52 2023,
dispense(pressure=200),Tue Aug 22 14:30:58 2023,
set_pressure(pressure=200; direction=1),Tue Aug 22 14:30:58 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:31:00 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:31:07 2023,
close_valve(channel=0),Tue Aug 22 14:31:09 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:31:10 2023,
dispense(pressure=200),Tue Aug 22 14:31:16 2023,
set_pressure(pressure=200; direction=1),Tue Aug 22 14:31:16 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:31:18 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:31:25 2023,
close_valve(channel=0),Tue Aug 22 14:31:27 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:31:28 2023,
dispense(pressure=200),Tue Aug 22 14:31:34 2023,
set_pressure(pressure=200; direction=1),Tue Aug 22 14:31:34 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:31:36 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:31:43 2023,
close_valve(channel=0),Tue Aug 22 14:31:45 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:31:46 2023,
dispense(pressure=200),Tue Aug 22 14:31:52 2023,
set_pressure(pressure=200; direction=1),Tue Aug 22 14:31:52 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:31:54 2023,
dispense(pressure=100),Tue Aug 22 14:32:04 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:32:04 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:32:06 2023,
dispense(pressure=100),Tue Aug 22 14:32:10 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:32:10 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:32:12 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:38:39 2023,
close_valve(channel=0),Tue Aug 22 14:38:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:38:42 2023,
dispense(pressure=100),Tue Aug 22 14:38:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:38:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:38:55 2023,
dispense(pressure=100),Tue Aug 22 14:39:00 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:39:00 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:39:02 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:39:13 2023,
close_valve(channel=0),Tue Aug 22 14:39:15 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:39:16 2023,
dispense(pressure=100),Tue Aug 22 14:39:27 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:39:27 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:39:29 2023,
dispense(pressure=100),Tue Aug 22 14:39:33 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:39:33 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:39:35 2023,
