Seyonic Pipettor Initializing...,Thu Aug 24 10:33:16 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:33:23 2023,
close_valve(channel=0),Thu Aug 24 10:33:24 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:33:25 2023,
dispense(pressure=100),Thu Aug 24 10:33:27 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:33:27 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:33:30 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:33:33 2023,
close_valve(channel=0),Thu Aug 24 10:33:34 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:33:35 2023,
dispense(pressure=100),Thu Aug 24 10:33:37 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:33:37 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:33:40 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:33:43 2023,
close_valve(channel=0),Thu Aug 24 10:33:44 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:33:45 2023,
dispense(pressure=100),Thu Aug 24 10:33:47 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:33:47 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:33:49 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:33:52 2023,
close_valve(channel=0),Thu Aug 24 10:33:54 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:33:55 2023,
dispense(pressure=100),Thu Aug 24 10:33:57 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:33:57 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:33:59 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:34:02 2023,
close_valve(channel=0),Thu Aug 24 10:34:04 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:34:05 2023,
dispense(pressure=100),Thu Aug 24 10:34:07 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:34:07 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:34:09 2023,
dispense(pressure=100),Thu Aug 24 10:34:15 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:34:15 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:34:17 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:34:52 2023,
close_valve(channel=0),Thu Aug 24 10:34:53 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:34:54 2023,
dispense(pressure=100),Thu Aug 24 10:35:03 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:35:03 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:35:05 2023,
dispense(pressure=100),Thu Aug 24 10:35:09 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:35:09 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:35:11 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:35:47 2023,
close_valve(channel=0),Thu Aug 24 10:35:48 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:35:49 2023,
dispense(pressure=100),Thu Aug 24 10:35:59 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:35:59 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:36:01 2023,
dispense(pressure=100),Thu Aug 24 10:36:05 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:36:05 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:36:07 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:36:43 2023,
close_valve(channel=0),Thu Aug 24 10:36:44 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:36:45 2023,
dispense(pressure=100),Thu Aug 24 10:36:55 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:36:55 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:36:58 2023,
dispense(pressure=100),Thu Aug 24 10:37:02 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:37:02 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:37:04 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:37:07 2023,
close_valve(channel=0),Thu Aug 24 10:37:08 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:37:09 2023,
dispense(pressure=100),Thu Aug 24 10:37:11 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:37:11 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:37:14 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:37:17 2023,
close_valve(channel=0),Thu Aug 24 10:37:19 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:37:20 2023,
dispense(pressure=100),Thu Aug 24 10:37:22 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:37:22 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:37:24 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:37:27 2023,
close_valve(channel=0),Thu Aug 24 10:37:29 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:37:30 2023,
dispense(pressure=100),Thu Aug 24 10:37:32 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:37:32 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:37:35 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:37:38 2023,
close_valve(channel=0),Thu Aug 24 10:37:39 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:37:40 2023,
dispense(pressure=100),Thu Aug 24 10:37:43 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:37:43 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:37:45 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:37:48 2023,
close_valve(channel=0),Thu Aug 24 10:37:50 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:37:51 2023,
dispense(pressure=100),Thu Aug 24 10:37:53 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:37:53 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:37:55 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:37:58 2023,
close_valve(channel=0),Thu Aug 24 10:38:00 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:38:01 2023,
dispense(pressure=100),Thu Aug 24 10:38:03 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:03 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:06 2023,
dispense(pressure=100),Thu Aug 24 10:38:12 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:12 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:14 2023,
dispense(pressure=100),Thu Aug 24 10:38:18 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:18 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:20 2023,
dispense(pressure=100),Thu Aug 24 10:38:24 2023,
