Seyonic Pipettor Initializing...,Fri Aug 25 15:13:17 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:13:25 2023,
close_valve(channel=0),Fri Aug 25 15:13:26 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:13:27 2023,
dispense(pressure=100),Fri Aug 25 15:13:29 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:13:29 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:13:31 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:13:34 2023,
close_valve(channel=0),Fri Aug 25 15:13:36 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:13:37 2023,
dispense(pressure=100),Fri Aug 25 15:13:39 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:13:39 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:13:41 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:13:44 2023,
close_valve(channel=0),Fri Aug 25 15:13:46 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:13:47 2023,
dispense(pressure=100),Fri Aug 25 15:13:49 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:13:49 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:13:51 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:13:54 2023,
close_valve(channel=0),Fri Aug 25 15:13:56 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:13:57 2023,
dispense(pressure=100),Fri Aug 25 15:13:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:13:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:14:01 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:14:04 2023,
close_valve(channel=0),Fri Aug 25 15:14:06 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:14:07 2023,
dispense(pressure=100),Fri Aug 25 15:14:09 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:14:09 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:14:11 2023,
dispense(pressure=100),Fri Aug 25 15:14:17 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:14:17 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:14:19 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:14:54 2023,
close_valve(channel=0),Fri Aug 25 15:14:55 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:14:56 2023,
dispense(pressure=100),Fri Aug 25 15:15:05 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:15:05 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:15:07 2023,
dispense(pressure=100),Fri Aug 25 15:15:11 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:15:11 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:15:13 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:15:49 2023,
close_valve(channel=0),Fri Aug 25 15:15:50 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:15:51 2023,
dispense(pressure=100),Fri Aug 25 15:16:01 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:16:01 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:16:03 2023,
dispense(pressure=100),Fri Aug 25 15:16:07 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:16:07 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:16:09 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:16:44 2023,
close_valve(channel=0),Fri Aug 25 15:16:46 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:16:47 2023,
dispense(pressure=100),Fri Aug 25 15:16:57 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:16:57 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:16:59 2023,
dispense(pressure=100),Fri Aug 25 15:17:03 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:17:03 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:17:05 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:17:08 2023,
close_valve(channel=0),Fri Aug 25 15:17:10 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:17:11 2023,
dispense(pressure=100),Fri Aug 25 15:17:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:17:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:17:15 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:17:18 2023,
close_valve(channel=0),Fri Aug 25 15:17:20 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:17:21 2023,
dispense(pressure=100),Fri Aug 25 15:17:23 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:17:23 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:17:26 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:17:29 2023,
close_valve(channel=0),Fri Aug 25 15:17:30 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:17:31 2023,
dispense(pressure=100),Fri Aug 25 15:17:34 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:17:34 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:17:36 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:17:39 2023,
close_valve(channel=0),Fri Aug 25 15:17:41 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:17:42 2023,
dispense(pressure=100),Fri Aug 25 15:17:44 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:17:44 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:17:46 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:17:49 2023,
close_valve(channel=0),Fri Aug 25 15:17:51 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:17:52 2023,
dispense(pressure=100),Fri Aug 25 15:17:54 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:17:54 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:17:57 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:18:00 2023,
close_valve(channel=0),Fri Aug 25 15:18:02 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:18:03 2023,
dispense(pressure=100),Fri Aug 25 15:18:05 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:05 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:07 2023,
dispense(pressure=100),Fri Aug 25 15:18:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:15 2023,
dispense(pressure=100),Fri Aug 25 15:18:19 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:18:19 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:18:21 2023,
