Seyonic Pipettor Initializing...,Mon Aug 28 13:18:17 2023,
change_timeout(timeout_in_seconds=200),Mon Aug 28 13:18:37 2023,
set_pressure(pressure=-500; direction=2),Mon Aug 28 13:18:37 2023,
open_valve(),Mon Aug 28 13:18:38 2023,
close_valve(channel=0),Mon Aug 28 13:21:25 2023,
set_pressure(pressure=0; direction=2),Mon Aug 28 13:21:25 2023,
set_pressure(pressure=241; direction=1),Mon Aug 28 13:21:25 2023,
set_pressure(pressure=0; direction=1),Mon Aug 28 13:21:25 2023,
change_timeout(timeout_in_seconds=65),Mon Aug 28 13:21:28 2023,
change_timeout(timeout_in_seconds=200),Mon Aug 28 13:21:37 2023,
set_pressure(pressure=-500; direction=2),Mon Aug 28 13:21:37 2023,
open_valve(),Mon Aug 28 13:21:38 2023,
close_valve(channel=0),Mon Aug 28 13:24:24 2023,
set_pressure(pressure=0; direction=2),Mon Aug 28 13:24:25 2023,
set_pressure(pressure=241; direction=1),Mon Aug 28 13:24:25 2023,
set_pressure(pressure=0; direction=1),Mon Aug 28 13:24:25 2023,
change_timeout(timeout_in_seconds=65),Mon Aug 28 13:24:28 2023,
change_timeout(timeout_in_seconds=200),Mon Aug 28 13:24:37 2023,
set_pressure(pressure=-500; direction=2),Mon Aug 28 13:24:37 2023,
open_valve(),Mon Aug 28 13:24:38 2023,
close_valve(channel=0),Mon Aug 28 13:27:24 2023,
set_pressure(pressure=0; direction=2),Mon Aug 28 13:27:24 2023,
set_pressure(pressure=241; direction=1),Mon Aug 28 13:27:24 2023,
set_pressure(pressure=0; direction=1),Mon Aug 28 13:27:24 2023,
change_timeout(timeout_in_seconds=65),Mon Aug 28 13:27:27 2023,
change_timeout(timeout_in_seconds=200),Mon Aug 28 13:27:36 2023,
set_pressure(pressure=-500; direction=2),Mon Aug 28 13:27:36 2023,
open_valve(),Mon Aug 28 13:27:37 2023,
close_valve(channel=0),Mon Aug 28 13:30:23 2023,
set_pressure(pressure=0; direction=2),Mon Aug 28 13:30:23 2023,
set_pressure(pressure=241; direction=1),Mon Aug 28 13:30:23 2023,
set_pressure(pressure=0; direction=1),Mon Aug 28 13:30:24 2023,
change_timeout(timeout_in_seconds=65),Mon Aug 28 13:30:27 2023,
