Seyonic Pipettor Initializing...,Thu Aug  3 15:36:13 2023,
set_pressure(pressure=-100; direction=None),Thu Aug  3 15:36:33 2023,
close_valve(channel=0),Thu Aug  3 15:36:34 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:36:35 2023,
dispense(pressure=20),Thu Aug  3 15:36:45 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:36:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:36:47 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 15:36:49 2023,
close_valve(channel=0),Thu Aug  3 15:36:52 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:36:53 2023,
dispense(pressure=20),Thu Aug  3 15:37:11 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:37:11 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:37:13 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 15:37:15 2023,
close_valve(channel=0),Thu Aug  3 15:37:17 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 15:37:18 2023,
dispense(pressure=20),Thu Aug  3 15:37:31 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:37:31 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:37:33 2023,
dispense(pressure=20),Thu Aug  3 15:37:35 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:37:35 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:37:37 2023,
