Seyonic Pipettor Initializing...,Wed Aug  9 21:07:34 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  9 21:07:54 2023,
close_valve(channel=0),Wed Aug  9 21:07:55 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 21:07:56 2023,
dispense(pressure=20),Wed Aug  9 21:08:06 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:08:06 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:08:08 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  9 21:08:10 2023,
close_valve(channel=0),Wed Aug  9 21:08:13 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 21:08:14 2023,
dispense(pressure=20),Wed Aug  9 21:08:32 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:08:32 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:08:34 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  9 21:08:36 2023,
close_valve(channel=0),Wed Aug  9 21:08:38 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 21:08:39 2023,
dispense(pressure=20),Wed Aug  9 21:08:52 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:08:52 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:08:54 2023,
dispense(pressure=20),Wed Aug  9 21:08:56 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:08:56 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:08:58 2023,
