Seyonic Pipettor Initializing...,Wed Sep 13 14:44:53 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:45:00 2023,
close_valve(channel=0),Wed Sep 13 14:45:01 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:45:02 2023,
dispense(pressure=100),Wed Sep 13 14:45:04 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:45:04 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:45:07 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:45:10 2023,
close_valve(channel=0),Wed Sep 13 14:45:12 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:45:13 2023,
dispense(pressure=100),Wed Sep 13 14:45:15 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:45:15 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:45:17 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:45:20 2023,
close_valve(channel=0),Wed Sep 13 14:45:22 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:45:23 2023,
dispense(pressure=100),Wed Sep 13 14:45:25 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:45:25 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:45:27 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:45:30 2023,
close_valve(channel=0),Wed Sep 13 14:45:32 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:45:33 2023,
dispense(pressure=100),Wed Sep 13 14:45:35 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:45:35 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:45:37 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:45:40 2023,
close_valve(channel=0),Wed Sep 13 14:45:42 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:45:43 2023,
dispense(pressure=100),Wed Sep 13 14:45:45 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:45:45 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:45:47 2023,
dispense(pressure=100),Wed Sep 13 14:45:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:45:53 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:45:55 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 14:46:30 2023,
close_valve(channel=0),Wed Sep 13 14:46:32 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 14:46:33 2023,
dispense(pressure=100),Wed Sep 13 14:46:42 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:46:42 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:46:44 2023,
dispense(pressure=100),Wed Sep 13 14:46:48 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 14:46:48 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 14:46:50 2023,
