Seyonic Pipettor Initializing...,Fri Sep 15 11:59:55 2023,
dispense(pressure=100),Fri Sep 15 11:59:56 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 11:59:56 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:00:01 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:00:13 2023,
close_valve(channel=0),Fri Sep 15 12:00:16 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:00:17 2023,
dispense(pressure=100),Fri Sep 15 12:00:26 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:00:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:00:33 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:01:07 2023,
close_valve(channel=0),Fri Sep 15 12:01:09 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:01:10 2023,
dispense(pressure=100),Fri Sep 15 12:01:20 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:01:20 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:01:22 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:01:34 2023,
close_valve(channel=0),Fri Sep 15 12:01:35 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:01:36 2023,
dispense(pressure=100),Fri Sep 15 12:01:46 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:01:46 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:01:49 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:07:32 2023,
close_valve(channel=0),Fri Sep 15 12:07:33 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:07:34 2023,
dispense(pressure=100),Fri Sep 15 12:07:44 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:07:44 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:07:47 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:07:49 2023,
close_valve(channel=0),Fri Sep 15 12:07:50 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:07:51 2023,
dispense(pressure=100),Fri Sep 15 12:07:52 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:07:52 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:07:54 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:07:56 2023,
close_valve(channel=0),Fri Sep 15 12:07:58 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:07:59 2023,
dispense(pressure=100),Fri Sep 15 12:08:00 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:08:00 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:08:02 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:08:04 2023,
close_valve(channel=0),Fri Sep 15 12:08:05 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:08:06 2023,
dispense(pressure=100),Fri Sep 15 12:08:07 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:08:07 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:08:09 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:08:11 2023,
close_valve(channel=0),Fri Sep 15 12:08:13 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:08:14 2023,
dispense(pressure=100),Fri Sep 15 12:08:15 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:08:15 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:08:17 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:08:19 2023,
close_valve(channel=0),Fri Sep 15 12:08:20 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:08:21 2023,
dispense(pressure=100),Fri Sep 15 12:08:22 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:08:22 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:08:25 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:08:57 2023,
close_valve(channel=0),Fri Sep 15 12:08:59 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:09:00 2023,
dispense(pressure=100),Fri Sep 15 12:09:01 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:09:01 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:09:03 2023,
dispense(pressure=100),Fri Sep 15 12:09:09 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:09:09 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:09:11 2023,
