Seyonic Pipettor Initializing...,Tue Sep 19 14:34:49 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:35:21 2023,
close_valve(channel=0),Tue Sep 19 14:35:22 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:35:23 2023,
dispense(pressure=100),Tue Sep 19 14:35:33 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:35:33 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:35:35 2023,
dispense(pressure=100),Tue Sep 19 14:35:39 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:35:39 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:35:41 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:36:17 2023,
close_valve(channel=0),Tue Sep 19 14:36:19 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:36:20 2023,
dispense(pressure=100),Tue Sep 19 14:36:30 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:36:30 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:36:32 2023,
dispense(pressure=100),Tue Sep 19 14:36:36 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:36:36 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:36:38 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:36:41 2023,
close_valve(channel=0),Tue Sep 19 14:36:43 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:36:44 2023,
dispense(pressure=100),Tue Sep 19 14:36:46 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:36:46 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:36:49 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:36:52 2023,
close_valve(channel=0),Tue Sep 19 14:36:54 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:36:55 2023,
dispense(pressure=100),Tue Sep 19 14:36:57 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:36:57 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:00 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:37:03 2023,
close_valve(channel=0),Tue Sep 19 14:37:04 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:37:05 2023,
dispense(pressure=100),Tue Sep 19 14:37:07 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:37:07 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:10 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:37:13 2023,
close_valve(channel=0),Tue Sep 19 14:37:15 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:37:16 2023,
dispense(pressure=100),Tue Sep 19 14:37:18 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:37:18 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:20 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:37:23 2023,
close_valve(channel=0),Tue Sep 19 14:37:25 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:37:26 2023,
dispense(pressure=100),Tue Sep 19 14:37:28 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:37:28 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:31 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:37:34 2023,
close_valve(channel=0),Tue Sep 19 14:37:36 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:37:37 2023,
dispense(pressure=100),Tue Sep 19 14:37:39 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:37:39 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:41 2023,
dispense(pressure=100),Tue Sep 19 14:37:47 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:37:47 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:50 2023,
dispense(pressure=100),Tue Sep 19 14:37:54 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:37:54 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:37:56 2023,
dispense(pressure=100),Tue Sep 19 14:38:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:38:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:38:02 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:38:39 2023,
close_valve(channel=0),Tue Sep 19 14:38:40 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:38:41 2023,
dispense(pressure=100),Tue Sep 19 14:38:43 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:38:43 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:38:46 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:38:49 2023,
close_valve(channel=0),Tue Sep 19 14:38:50 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:38:51 2023,
dispense(pressure=100),Tue Sep 19 14:38:53 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:38:53 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:38:56 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:38:59 2023,
close_valve(channel=0),Tue Sep 19 14:39:00 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:39:02 2023,
dispense(pressure=100),Tue Sep 19 14:39:04 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:39:04 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:39:06 2023,
dispense(pressure=100),Tue Sep 19 14:39:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:39:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:39:13 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:41:48 2023,
close_valve(channel=0),Tue Sep 19 14:41:50 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:41:51 2023,
dispense(pressure=100),Tue Sep 19 14:42:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:42:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:42:03 2023,
dispense(pressure=100),Tue Sep 19 14:42:08 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:42:08 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:42:10 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:42:22 2023,
close_valve(channel=0),Tue Sep 19 14:42:23 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:42:24 2023,
dispense(pressure=100),Tue Sep 19 14:42:37 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:42:37 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:42:39 2023,
dispense(pressure=100),Tue Sep 19 14:42:43 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:42:43 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:42:45 2023,
dispense(pressure=100),Tue Sep 19 14:42:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:42:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:42:52 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:42:55 2023,
close_valve(channel=0),Tue Sep 19 14:42:57 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:42:58 2023,
dispense(pressure=200),Tue Sep 19 14:43:04 2023,
set_pressure(pressure=200; direction=1),Tue Sep 19 14:43:04 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:43:06 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:43:13 2023,
close_valve(channel=0),Tue Sep 19 14:43:15 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:43:16 2023,
dispense(pressure=200),Tue Sep 19 14:43:22 2023,
set_pressure(pressure=200; direction=1),Tue Sep 19 14:43:22 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:43:24 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:43:31 2023,
close_valve(channel=0),Tue Sep 19 14:43:33 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:43:34 2023,
dispense(pressure=200),Tue Sep 19 14:43:40 2023,
set_pressure(pressure=200; direction=1),Tue Sep 19 14:43:40 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:43:42 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:43:49 2023,
close_valve(channel=0),Tue Sep 19 14:43:51 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:43:52 2023,
dispense(pressure=200),Tue Sep 19 14:43:58 2023,
set_pressure(pressure=200; direction=1),Tue Sep 19 14:43:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:44:01 2023,
dispense(pressure=100),Tue Sep 19 14:44:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:44:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:44:13 2023,
dispense(pressure=100),Tue Sep 19 14:44:17 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:44:17 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:44:19 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:50:47 2023,
close_valve(channel=0),Tue Sep 19 14:50:49 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:50:50 2023,
dispense(pressure=100),Tue Sep 19 14:51:00 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:51:00 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:51:03 2023,
dispense(pressure=100),Tue Sep 19 14:51:07 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:51:07 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:51:09 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:51:21 2023,
close_valve(channel=0),Tue Sep 19 14:51:23 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:51:24 2023,
dispense(pressure=100),Tue Sep 19 14:51:34 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:51:34 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:51:37 2023,
dispense(pressure=100),Tue Sep 19 14:51:41 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:51:41 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:51:43 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:52:16 2023,
close_valve(channel=0),Tue Sep 19 14:52:17 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:52:18 2023,
dispense(pressure=100),Tue Sep 19 14:52:28 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:52:28 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:52:30 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:52:52 2023,
close_valve(channel=0),Tue Sep 19 14:52:54 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:52:55 2023,
dispense(pressure=100),Tue Sep 19 14:53:04 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:53:04 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:53:06 2023,
dispense(pressure=100),Tue Sep 19 14:53:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:53:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:53:13 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:53:22 2023,
close_valve(channel=0),Tue Sep 19 14:53:24 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:53:25 2023,
dispense(pressure=100),Tue Sep 19 14:53:34 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:53:34 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:53:36 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:53:58 2023,
close_valve(channel=0),Tue Sep 19 14:54:00 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:54:01 2023,
dispense(pressure=100),Tue Sep 19 14:54:10 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:54:10 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:54:13 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:54:47 2023,
close_valve(channel=3),Tue Sep 19 14:54:48 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:54:49 2023,
close_valve(channel=0),Tue Sep 19 14:54:49 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:54:50 2023,
dispense(pressure=100),Tue Sep 19 14:55:01 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:55:01 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:55:13 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:55:24 2023,
close_valve(channel=3),Tue Sep 19 14:55:25 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:55:26 2023,
close_valve(channel=0),Tue Sep 19 14:55:26 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:55:27 2023,
dispense(pressure=100),Tue Sep 19 14:55:38 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:55:38 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:55:49 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:59:24 2023,
close_valve(channel=0),Tue Sep 19 14:59:25 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:59:26 2023,
dispense(pressure=100),Tue Sep 19 14:59:36 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:59:36 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:59:38 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:59:40 2023,
close_valve(channel=0),Tue Sep 19 14:59:41 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:59:42 2023,
dispense(pressure=100),Tue Sep 19 14:59:43 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:59:43 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:59:45 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:59:47 2023,
close_valve(channel=0),Tue Sep 19 14:59:49 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:59:50 2023,
dispense(pressure=100),Tue Sep 19 14:59:51 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:59:51 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:59:53 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:59:55 2023,
close_valve(channel=0),Tue Sep 19 14:59:56 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:59:57 2023,
dispense(pressure=100),Tue Sep 19 14:59:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:59:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 15:00:00 2023,
set_pressure(pressure=-8; direction=None),Tue Sep 19 15:00:02 2023,
close_valve(channel=0),Tue Sep 19 15:00:03 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 15:00:04 2023,
dispense(pressure=20),Tue Sep 19 15:00:06 2023,
set_pressure(pressure=20; direction=1),Tue Sep 19 15:00:06 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 15:00:08 2023,
dispense(pressure=20),Tue Sep 19 15:00:13 2023,
set_pressure(pressure=20; direction=1),Tue Sep 19 15:00:13 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 15:00:15 2023,
dispense(pressure=100),Tue Sep 19 15:01:21 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 15:01:21 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 15:01:23 2023,
