Seyonic Pipettor Initializing...,Thu Sep 28 13:37:37 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:37:58 2023,
close_valve(channel=0),Thu Sep 28 13:38:00 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:38:01 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:38:11 2023,
close_valve(channel=0),Thu Sep 28 13:38:12 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:38:13 2023,
dispense(pressure=100),Thu Sep 28 13:38:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:38:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:38:25 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:38:27 2023,
close_valve(channel=0),Thu Sep 28 13:38:28 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:38:29 2023,
dispense(pressure=100),Thu Sep 28 13:38:30 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:38:30 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:38:32 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:38:34 2023,
close_valve(channel=0),Thu Sep 28 13:38:35 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:38:36 2023,
dispense(pressure=100),Thu Sep 28 13:38:37 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:38:37 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:38:39 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:38:41 2023,
close_valve(channel=0),Thu Sep 28 13:38:43 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:38:44 2023,
dispense(pressure=100),Thu Sep 28 13:38:45 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:38:45 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:38:47 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 13:38:49 2023,
close_valve(channel=0),Thu Sep 28 13:38:50 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 13:38:51 2023,
dispense(pressure=100),Thu Sep 28 13:39:46 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 13:39:46 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 13:39:48 2023,
