Action,Type,Pressure (mbar),Ch 1 - Status,Ch 2 - Status,Ch 3 - Status,Ch 4 - Status,Ch 5 - Status,Ch 6 - Status,Ch 7 - Status,Ch 8 - Status,Elapsed Time (s),Time (HH:MM:SS),Date (MM/DD/YYYY)
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.0, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.016347646713256836, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.03219962120056152, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.04809689521789551, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.06406497955322266, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.0800325870513916, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.09606170654296875, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.11183452606201172, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.12761688232421875, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.14384698867797852, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.1596689224243164, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.17559099197387695, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.19152426719665527, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -15, -20, -20, -20, -20, -20, -20, -20, -20, 0.2071526050567627, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -3, -20, -20, -20, -20, -20, -20, -20, -20, 0.22286558151245117, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -4, -20, -20, -20, -20, -20, -20, -20, -20, 0.23865127563476562, 13:32:59, 7/27/2023
Aspirate, Actual Pressure (mbar), -13, -20, -20, -20, -20, -20, -20, -20, -20, 0.25472068786621094, 13:33:0, 7/27/2023
Aspirate, Actual Pressure (mbar), -11, -20, -20, -20, -20, -20, -20, -20, -20, 0.270845890045166, 13:33:0, 7/27/2023
Aspirate, Actual Pressure (mbar), -17, -20, -20, -20, -20, -20, -20, -20, -20, 0.28685688972473145, 13:33:0, 7/27/2023
Aspirate, Trigger, -20, 1, 1, 1, 1, 1, 1, 1, 1, 0.015749454498291016, 13:33:0, 7/27/2023
Aspirate, In Progress, -20, 1, 1, 1, 1, 1, 1, 1, 1, 0.270763635635376, 13:33:0, 7/27/2023
Aspirate, In Progress, -20, 1, 1, 1, 1, 1, 0, 0, 0, 0.3990659713745117, 13:33:0, 7/27/2023
Aspirate, Completed, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1.6656551361083984, 13:33:1, 7/27/2023
