consumable,tray,column,x,y,z1,z2,tip
Quant Strip,A,1,0,0,0,0,1000
Quant Strip,B,1,0,0,0,0,1000
Quant Strip,C,1,0,0,0,0,1000
Quant Strip,D,1,0,0,0,0,1000
Tip Box,A,1,-169650,-629000,-1536000,0,1000
Tip Box,A,2,-158150,-629000,-1536000,0,1000
Tip Box,A,3,-158850,-629000,-1536000,0,1000
Tip Box,A,4,-153750,-629000,-1536000,0,1000
Tip Box,A,5,-148350,-629000,-1536000,0,1000
Tip Box,A,6,-142950,-629000,-1536000,0,1000
Tip Box,A,7,-137550,-629000,-1536000,0,1000
Tip Box,A,8,-132150,-629000,-1536000,0,1000
Tip Box,A,9,-126750,-629000,-1536000,0,1000
Tip Box,A,10,-121350,-629000,-1536000,0,1000
Tip Box,A,11,-115950,-629000,-1536000,0,1000
Tip Box,A,12,-110550,-629000,-1536000,0,1000
Tip Box,B,1,0,0,0,0,1000
Tip Box,B,2,0,0,0,0,1000
Tip Box,B,3,0,0,0,0,1000
Tip Box,B,4,0,0,0,0,1000
Tip Box,B,5,0,0,0,0,1000
Tip Box,B,6,0,0,0,0,1000
Tip Box,B,7,0,0,0,0,1000
Tip Box,B,8,0,0,0,0,1000
Tip Box,B,9,0,0,0,0,1000
Tip Box,B,10,0,0,0,0,1000
Tip Box,B,11,0,0,0,0,1000
Tip Box,B,12,0,0,0,0,1000
Tip Box,C,1,0,0,0,0,1000
Tip Box,C,2,0,0,0,0,1000
Tip Box,C,3,0,0,0,0,1000
Tip Box,C,4,0,0,0,0,1000
Tip Box,C,5,0,0,0,0,1000
Tip Box,C,6,0,0,0,0,1000
Tip Box,C,7,0,0,0,0,1000
Tip Box,C,8,0,0,0,0,1000
Tip Box,C,9,0,0,0,0,1000
Tip Box,C,10,0,0,0,0,1000
Tip Box,C,11,0,0,0,0,1000
Tip Box,C,12,0,0,0,0,1000
Tip Box,D,1,0,0,0,0,1000
Tip Box,D,2,0,0,0,0,1000
Tip Box,D,3,0,0,0,0,1000
Tip Box,D,4,0,0,0,0,1000
Tip Box,D,5,0,0,0,0,1000
Tip Box,D,6,0,0,0,0,1000
Tip Box,D,7,0,0,0,0,1000
Tip Box,D,8,0,0,0,0,1000
Tip Box,D,9,0,0,0,0,1000
Tip Box,D,10,0,0,0,0,1000
Tip Box,D,11,0,0,0,0,1000
Tip Box,D,12,0,0,0,0,1000
Reagent Cartridge,A,1,-252450,-628000,-965000,0,1000
Reagent Cartridge,A,2,-245950,-628000,-965000,0,1000
Reagent Cartridge,A,3,-239900,-628000,-876000,0,1000
Reagent Cartridge,A,4,-234700,-633000,-761000,0,1000
Reagent Cartridge,A,5,-229250,-629000,-773000,0,1000
Reagent Cartridge,A,6,-223950,-629000,-773000,0,1000
Reagent Cartridge,A,7,-218550,-629000,-773000,0,1000
Reagent Cartridge,A,8,-213350,-633000,-765000,0,1000
Reagent Cartridge,A,9,-207550,-629000,-773000,0,1000
Reagent Cartridge,A,10,-202450,-633000,-875000,0,1000
Reagent Cartridge,A,11,-196000,-633000,-965000,0,1000
Reagent Cartridge,A,12,-189250,-633000,-965000,0,1000
Reagent Cartridge,B,1,0,0,0,0,1000
Reagent Cartridge,B,2,0,0,0,0,1000
Reagent Cartridge,B,3,0,0,0,0,1000
