Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=50000, velocity='150000'),2.53,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),43.17,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.5,
Move the Seyonic Pipettor to Reagent Cartridge,move_pipettor_new,8.81,
Move the Seyonic Pipettor to Reagent Cartridge,move_pipettor_new,11.23,
Move the Seyonic Pipettor to Reagent Cartridge,move_pipettor_new,11.92,
Move the Seyonic Pipettor to Reagent Cartridge,move_pipettor_new,11.73,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),43.38,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.49,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.53,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),43.24,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),51.65,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-5000, velocity='20000'),1.59,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-50000, velocity='150000'),2.48,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-10000, velocity='20000'),1.58,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-100000, velocity='150000'),2.48,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-150000, velocity='150000'),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-200000, velocity='150000'),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-15000, velocity='20000'),1.57,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-20000, velocity='20000'),1.59,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-25000, velocity='20000'),1.57,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-250000, velocity='150000'),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-300000, velocity='150000'),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-350000, velocity='150000'),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-400000, velocity='150000'),2.49,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-450000, velocity='150000'),2.47,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-500000, velocity='150000'),2.49,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),40.08,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),44.43,
