Wait 3 minutes,delay,180.0,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.46,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.07,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-100, pipette_tip_type=1000),7.94,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=100, turn_off_air_valve=True),6.95,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.07,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-100, pipette_tip_type=1000),8.05,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=100, turn_off_air_valve=True),7.92,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.06,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-100, pipette_tip_type=1000),7.88,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=100, turn_off_air_valve=True),13.7,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),5.71,
Dispense 900 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9000, pressure=100, turn_off_air_valve=True),6.62,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),32.8,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.14,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),13.68,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-141000, velocity='800000'),4.02,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.57,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.1,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-636000, velocity='80000'),1.54,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),13.68,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-136000, velocity='800000'),4.01,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.55,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.08,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-126000, velocity='80000'),1.8,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),13.61,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-121000, velocity='800000'),4.02,
Wait 5 seconds,delay,5,
Dispense 500 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=5000, pressure=100, turn_off_air_valve=True),5.57,
Wait 3 seconds,delay,3,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=100, turn_off_air_valve=True),4.07,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-100, pipette_tip_type=1000),13.6,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-300, pipette_tip_type=1000),13.64,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),48.92,
