Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.87,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.71,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),38.69,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.16,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.65,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.62,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),38.39,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.1,
Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),4.09,
Dispense 30 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=300, pressure=100, turn_off_air_valve=True),4.09,
Wait 3 seconds,delay,3,
Dispense 5 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=50, pressure=100, turn_off_air_valve=True),4.05,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='800000'),1.85,
Aspirate 5 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=50, pressure=-100, pipette_tip_type=50),4.07,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-790000, velocity='800000'),2.73,
Dispense 5 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=50, pressure=100, turn_off_air_valve=True),4.06,
Wait 3 seconds,delay,3,
Dispense 2 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=20, pressure=100, turn_off_air_valve=True),3.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='800000'),2.77,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.1,
Aspirate 10 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=100, pressure=-100, pipette_tip_type=50),4.05,
Dispense 10 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=100, pressure=100, turn_off_air_valve=True),4.09,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='800000'),2.34,
Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),4.02,
Wait 2 seconds,delay,2,
Dispense 30 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=300, pressure=None, turn_off_air_valve=True),4.04,
Wait 2 seconds,delay,2,
Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),4.05,
Wait 2 seconds,delay,2,
Dispense 30 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=300, pressure=None, turn_off_air_valve=True),4.2,
Wait 2 seconds,delay,2,
Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),4.09,
Wait 2 seconds,delay,2,
Dispense 30 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=300, pressure=None, turn_off_air_valve=True),4.09,
Wait 2 seconds,delay,2,
Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),4.1,
Wait 2 seconds,delay,2,
Dispense 30 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=300, pressure=None, turn_off_air_valve=True),4.09,
Wait 2 seconds,delay,2,
Dispense 30 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=300, pressure=None, turn_off_air_valve=True),4.15,
Wait 2 seconds,delay,2,
Wait 3 seconds,delay,3,
Dispense 10 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=100, pressure=100, turn_off_air_valve=True),4.08,
Wait 10 seconds,delay,10,
Aspirate 5 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=50, pressure=-100, pipette_tip_type=50),3.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-790000, velocity='800000'),2.72,
Dispense 5 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=50, pressure=100, turn_off_air_valve=True),3.96,
Wait 3 seconds,delay,3,
Dispense 2 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=20, pressure=100, turn_off_air_valve=True),3.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='800000'),2.69,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.26,
Aspirate 18 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=180, pressure=-100, pipette_tip_type=50),4.04,
Dispense 18 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=180, pressure=100, turn_off_air_valve=True),4.09,
Wait 10 seconds,delay,10,
Dispense 10 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=100, pressure=None, turn_off_air_valve=True),4.11,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-998000, velocity='800000'),2.5,
Wait 2 minutes,delay,120.0,
