Wait 3 minutes,delay,180.0,
Wait 40 seconds,delay,40,
Wait 30 seconds,delay,30,
Wait 40 seconds,delay,40,
Wait 30 seconds,delay,30,
Wait 40 seconds,delay,40,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),6.73,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),4.19,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),28.6,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.19,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.84,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.92,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.05,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.83,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.94,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.1,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.79,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.99,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.05,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.81,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),7.03,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.11,
Aspirate 160 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=1600, pressure=-300, pipette_tip_type=1000),4.38,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.62,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.73,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.73,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.69,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.67,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.25,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.86,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.75,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.69,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.69,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.19,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.74,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.65,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.8,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.68,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.21,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.66,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.65,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.7,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.66,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.25,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.18,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.74,
Wait 20 minutes,delay,1200.0,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),20.03,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.73,
Wait 10 minutes,delay,600.0,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.12,
Aspirate 860 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8600, pressure=-300, pipette_tip_type=1000),5.45,
Wait 45 seconds,delay,45,
