Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.45,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-200000, velocity='300000'),3.15,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-300000, velocity='300000'),2.7,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-400000, velocity='300000'),2.7,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),35.91,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.51,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),15.24,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),54.82,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),53.15,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),53.4,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),6.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.26,
Aspirate 22 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=220, pressure=-100, pipette_tip_type=50),4.03,
Dispense 22 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=220, pressure=100, turn_off_air_valve=True),4.04,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.05,
Aspirate 22 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=220, pressure=-100, pipette_tip_type=50),4.06,
Dispense 22 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=220, pressure=100, turn_off_air_valve=True),4.09,
Dispense 12 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=120, pressure=100, turn_off_air_valve=True),4.1,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1276000, velocity='80000'),2.72,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1326000, velocity='80000'),2.71,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1376000, velocity='80000'),2.74,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1396000, velocity='80000'),2.03,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-1043000, velocity='150000'),1.36,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-143600, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-1053000, velocity='150000'),1.84,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-1048000, velocity='150000'),1.58,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-1046000, velocity='150000'),1.37,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.25,
Aspirate 22 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=220, pressure=-100, pipette_tip_type=50),4.04,
Dispense 22 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=220, pressure=100, turn_off_air_valve=True),4.03,
Wait 2 seconds,delay,2,
Dispense 12 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=120, pressure=100, turn_off_air_valve=True),4.05,
Aspirate 22 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=220, pressure=-100, pipette_tip_type=50),4.06,
Dispense 22 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=220, pressure=100, turn_off_air_valve=True),4.08,
Wait 2 seconds,delay,2,
Dispense 12 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=120, pressure=100, turn_off_air_valve=True),4.1,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1326000, velocity='80000'),3.87,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1426000, velocity='80000'),3.85,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.27,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.24,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.81,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.68,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.08,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.78,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.77,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.08,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.7,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.67,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.08,
Aspirate 1000 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=10000, pressure=-300, pipette_tip_type=1000),5.8,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=None, turn_off_air_valve=True),6.76,
Wait 2 seconds,delay,2,
Dispense 50 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=500, pressure=None, turn_off_air_valve=True),4.09,
Aspirate 160 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=1600, pressure=-300, pipette_tip_type=1000),4.33,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.61,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.67,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.61,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.62,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.62,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.25,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.63,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.59,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.62,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.58,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.22,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.55,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.56,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.59,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.63,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.21,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.68,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.59,
Aspirate 935 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=9350, pressure=-300, pipette_tip_type=1000),5.63,
Dispense 935 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=9350, pressure=None, turn_off_air_valve=True),6.65,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.24,
Wait 3 seconds,delay,3,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.22,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.5,
Wait 20 minutes,delay,1200.0,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.26,
Aspirate 860 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8600, pressure=-300, pipette_tip_type=1000),5.53,
Wait 45 seconds,delay,45,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.21,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.48,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.45,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.37,
Wait 5 seconds,delay,5,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.51,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-275800, velocity='300000'),1.35,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=None, turn_off_air_valve=True),4.19,
Wait 3 seconds,delay,3,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.24,
Aspirate 860 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8600, pressure=-300, pipette_tip_type=1000),5.46,
Wait 45 seconds,delay,45,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.3,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.31,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.35,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.53,
Wait 5 seconds,delay,5,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.63,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-275800, velocity='300000'),1.39,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=None, turn_off_air_valve=True),4.17,
Wait 3 seconds,delay,3,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.2,
Aspirate 860 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8600, pressure=-300, pipette_tip_type=1000),5.47,
Wait 45 seconds,delay,45,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.22,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.39,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.32,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.37,
Wait 5 seconds,delay,5,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.49,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-275800, velocity='300000'),1.38,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=None, turn_off_air_valve=True),4.22,
Wait 3 seconds,delay,3,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=None, turn_off_air_valve=True),4.19,
Aspirate 860 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8600, pressure=-300, pipette_tip_type=1000),5.45,
Wait 45 seconds,delay,45,
Dispense 100 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1000, pressure=None, turn_off_air_valve=True),4.31,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.34,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.5,
Wait 5 seconds,delay,5,
Dispense 160 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=1600, pressure=None, turn_off_air_valve=True),4.34,
Wait 5 seconds,delay,5,
Dispense 200 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=2000, pressure=None, turn_off_air_valve=True),4.49,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-275800, velocity='300000'),1.35,
