Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=300, turn_off_air_valve=True),8.5,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),24.43,
Aspirate 500 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=5000, pressure=-300, pipette_tip_type=1000),9.32,
Dispense 1000 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=10000, pressure=300, turn_off_air_valve=True),8.66,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),43.48,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.21,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-600000, velocity='80000'),14.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-950000, velocity='30000'),0.69,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-582389, velocity='80000'),3.99,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),39.78,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-600000, velocity='80000'),14.43,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),37.55,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-600000, velocity='80000'),14.49,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-950000, velocity='30000'),0.7,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-685653, velocity='80000'),1.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-675653, velocity='80000'),1.9,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-685653, velocity='80000'),1.92,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),17.49,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.28,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-600000, velocity='80000'),14.43,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-950000, velocity='30000'),0.68,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-699118, velocity='80000'),1.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-689118, velocity='80000'),1.88,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-694118, velocity='80000'),1.69,
