Wait 300 seconds,delay,300,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=124913, velocity='800000'),4.98,
Aspirate 10 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=100, pressure=-100, pipette_tip_type=50),3.25,
Dispense 6 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=60, pressure=100, turn_off_air_valve=True),3.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=140386, velocity='800000'),5.09,
Wait 100 seconds,delay,100,
Aspirate 18 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=180, pressure=-100, pipette_tip_type=50),3.2,
Dispense 18 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=180, pressure=100, turn_off_air_valve=True),3.97,
Aspirate 18 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=180, pressure=-100, pipette_tip_type=50),3.18,
Dispense 18 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=180, pressure=100, turn_off_air_valve=True),3.97,
Aspirate 18 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=180, pressure=-100, pipette_tip_type=50),3.21,
Dispense 18 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=180, pressure=100, turn_off_air_valve=True),3.95,
Aspirate 18 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=180, pressure=-100, pipette_tip_type=50),3.2,
Dispense 18 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=180, pressure=100, turn_off_air_valve=True),3.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-860000, velocity='800000'),0.97,
Dispense 3 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=30, pressure=100, turn_off_air_valve=True),3.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-890000, velocity='800000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=73940, velocity='800000'),5.0,
Aspirate 30 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=300, pressure=-100, pipette_tip_type=50),3.32,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-446250, velocity='300000'),0.94,
Dispense 25 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=250, pressure=100, turn_off_air_valve=True),3.96,
Wait 50 seconds,delay,50,
Wait 3 minutes,delay,180.0,
Wait 100 seconds,delay,100,
Wait 50 seconds,delay,50,
Wait 60 seconds,delay,60,
